id,trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z,s_1,s_2,s_3,s_4
24474,1,-367.2298584,-269.3796997,2017.732544,-273.637146,-308.2736816,1806.84668,-356.4725952,-92.20440674,2229.155029,-369.5748901,-270.3302612,2014.220093,-447.3805237,-325.1560669,1870.118652,-364.0645752,-269.2588501,2022.244263,1,1,1,1
24475,1,-362.6619263,-281.2659912,2028.833496,-268.230835,-300.9470825,1806.80127,-360.3908081,-83.11248779,2238.056152,-365.149231,-282.6261597,2026.984863,-440.0656433,-323.3094482,1871.028076,-360.4336548,-282.3728027,2034.74292,1,1,1,1
24476,1,-363.1530762,-278.3082886,2028.376221,-267.7098999,-296.8031616,1807.609497,-356.8366089,-84.93060303,2238.726074,-364.8498535,-279.5245361,2026.329834,-433.5417786,-324.5751953,1870.707031,-361.5239868,-279.1774902,2032.990723,1,1,1,1
24477,1,-360.6836548,-278.9500732,2029.176636,-265.0980225,-299.6343384,1807.910278,-351.2521973,-84.01293945,2233.949219,-362.7894897,-280.5289917,2026.255005,-431.0430908,-325.8590088,1873.222656,-358.8286133,-279.7481079,2033.876953,1,1,1,1
24478,1,-365.7053223,-273.6608887,2031.51416,-260.1461792,-314.6758728,1811.912354,-357.769104,-87.40032959,2242.523682,-367.6691895,-275.7637329,2029.76123,-427.8561096,-329.5402527,1872.57666,-363.2806396,-274.9545288,2038.04895,1,1,1,1
24479,1,-360.0090332,-278.9420776,2040.290283,-255.9186401,-321.6974487,1812.390259,-344.729187,-80.87451172,2231.378174,-360.9730225,-280.750061,2038.930054,-422.9544983,-338.8730164,1877.204346,-357.22052,-279.796875,2047.307129,1,1,1,1
24480,1,-354.6484375,-274.7705078,2044.014893,-250.0736084,-325.2830811,1812.538208,-346.576416,-87.34191895,2232.037842,-355.3422852,-275.9557495,2041.622803,-418.6248169,-340.6536865,1880.212158,-351.4470825,-274.5466309,2049.865723,1,1,1,1
24481,1,-352.9449463,-290.9136963,2053.490723,-237.87146,-323.4167786,1813.666138,-349.1777954,-85.68218994,2253.882813,-354.0488892,-292.2095337,2050.591309,-413.5025024,-350.6082458,1883.563232,-350.8845825,-290.8261108,2060.040527,1,1,1,1
24482,1,-332.4359131,-293.0834961,2054.462402,-227.3018188,-320.8912964,1815.754028,-363.0228271,-99.16485596,2288.601074,-335.1872559,-294.7863159,2051.75,-405.3082581,-357.0471497,1887.049316,-331.1379395,-294.1344604,2060.874268,1,1,1,1
24483,1,-329.0574951,-302.9257813,2039.666504,-220.81073,-324.1980896,1811.44043,-340.1516724,-89.31079102,2254.071533,-331.8284912,-306.78125,2034.809326,-397.5727539,-360.5315247,1880.084473,-327.3178101,-306.0802612,2044.05957,1,1,1,1
24484,1,-297.1323853,-363.9179688,2031.205566,-227.1216431,-323.0401001,1807.396118,-343.152771,-77.58422852,2250.980469,-301.1416016,-363.9121704,2027.96228,-386.5904846,-363.2218018,1878.172119,-296.1609497,-363.7348633,2035.888672,1,1,1,1
24485,1,-297.2940674,-366.4871826,2019.392578,-219.4224854,-328.1195679,1814.380737,-328.3514404,-74.43713379,2220.641357,-301.2659302,-367.4293213,2016.79248,-384.2066345,-370.2985229,1877.679199,-296.7987671,-368.1496582,2023.934937,1,1,1,1
24486,1,-333.1131592,-294.7397461,2069.68335,-220.0609741,-339.5031433,1812.130615,-364.8098755,-96.45220947,2284.711426,-335.4732056,-297.4973145,2065.145508,-384.0974426,-377.489502,1872.767334,-330.6625366,-295.7803955,2075.888184,1,1,1,1
24487,1,-334.1464233,-289.5498047,2068.70874,-216.828125,-344.0454407,1809.862793,-347.2425537,-97.11462402,2275.560547,-335.6186523,-292.4055176,2064.695313,-379.0472717,-389.8578491,1880.876221,-332.7095947,-290.7667847,2073.745605,1,1,1,1
24488,1,-329.5852051,-281.0249634,2064.150879,-210.4625244,-351.9252319,1813.208374,-349.62854,-113.0064087,2291.391357,-330.9995117,-284.8595581,2060.660889,-375.2246094,-399.4440918,1885.225464,-329.0541382,-283.1789551,2068.57251,1,1,1,1
24489,1,-329.8151245,-266.4220581,2039.673218,-207.6886597,-343.0227661,1810.392212,-356.9865112,-117.4506836,2280.740723,-332.4262695,-270.4755249,2037.945313,-371.5816345,-388.0094299,1901.134277,-329.8362427,-268.7476807,2044.276001,1,1,1,1
24490,1,-327.7757568,-276.2372437,2001.503662,-212.2352295,-346.8603821,1801.659668,-349.3814087,-257.4796143,2186.189941,-328.6032715,-282.6704712,1999.899048,-361.8687439,-413.2829285,1902.423584,-326.2110596,-281.5413818,2003.120605,1,1,1,1
24491,1,-311.5960083,-296.8753662,2012.797363,-199.6668701,-372.7373657,1808.692383,-340.0931702,-108.8880615,2216.485352,-313.6068726,-302.1491699,2010.323364,-355.6528015,-423.5589905,1905.177979,-311.1079102,-298.7113037,2016.142334,1,1,1,1
24492,1,-266.4164429,-415.3779907,2052.366211,-190.7263184,-383.0633545,1817.637207,-275.7715454,-97.95019531,2230.061035,-268.8463745,-417.137146,2049.361084,-337.0891418,-445.1192627,1915.947632,-265.7268677,-414.3496094,2056.811035,1,1,1,1
24493,1,-276.2675781,-445.6920166,2011.937134,-177.5333252,-413.8973389,1827.925415,-306.0938721,-123.9298096,2199.374512,-279.0020752,-447.8312378,2011.295166,-330.0268555,-471.5257263,1930.090088,-273.7008667,-445.5672607,2017.120728,1,1,1,1
24494,1,-267.6052246,-443.7528076,1993.952148,-181.9328003,-413.1283569,1825.599243,-292.440918,-134.5229492,2217.769531,-269.3960571,-445.5394287,1994.616333,-331.2400513,-470.6211853,1926.499756,-265.6498413,-443.9766235,1999.93457,1,1,1,1
24495,1,-275.2196045,-429.618103,1993.973022,-178.2097168,-416.0370483,1823.276611,-286.7894897,-121.3944092,2216.769775,-277.7605591,-431.1980591,1993.601318,-339.4614868,-466.2306519,1913.840332,-273.0175781,-429.6700439,2000.029785,1,1,1,1
24496,1,-272.7086182,-458.3800049,2012.689697,-171.6964111,-436.439209,1832.136963,-333.0419006,-110.4512329,2184.094727,-274.7711182,-458.6890259,2013.049561,-323.9818115,-486.6341553,1934.318481,-270.5426636,-458.3571777,2017.775635,1,1,1,1
24497,1,-272.9191895,-452.6903687,2015.457764,-173.4153442,-439.0426025,1832.723633,-325.952301,-110.0717773,2178.32373,-275.5637207,-452.6571045,2015.503418,-327.4859924,-488.1004639,1920.154541,-270.6434326,-452.0302734,2020.36377,1,1,1,1
24498,1,-269.9885254,-453.5888672,2017.165039,-168.4269409,-442.4418335,1832.965088,-323.1822205,-108.1558838,2180.463379,-273.5824585,-453.5244751,2016.428711,-327.4982605,-495.4733887,1920.454834,-268.84021,-452.6964722,2021.588135,1,1,1,1
24499,1,-262.4985352,-461.2096558,2022.667969,-170.8223267,-459.8444824,1835.571289,-334.9553833,-124.4448853,2175.363037,-265.9146729,-460.9956665,2022.237061,-324.8262024,-498.0431519,1919.141113,-261.630127,-460.2086182,2026.979126,1,1,1,1
24500,1,-272.5213013,-452.7097778,2024.456299,-162.1758423,-476.795929,1834.277344,-334.8842773,-142.1627197,2181.492432,-275.2227173,-455.607666,2022.914551,-315.125061,-517.0738525,1917.979004,-271.1134033,-453.3109131,2029.444824,1,1,1,1
24501,1,-274.151123,-447.2263794,2020.737061,-158.3799438,-490.0222473,1841.538818,-330.3954468,-140.5753174,2155.598389,-277.2758789,-449.2967529,2019.360352,-315.5122681,-527.6903076,1918.645386,-273.6797485,-446.1003418,2025.536621,1,1,1,1
24502,1,-276.3695068,-452.1265869,2015.38208,-145.8560791,-497.1597595,1840.618408,-337.1656189,-158.0537109,2129.924805,-280.1760254,-454.8001709,2013.638184,-312.2312317,-526.5136108,1916.099365,-276.1224976,-452.192688,2020.078613,1,1,1,1
24503,1,-274.5545654,-465.3585205,2005.534302,-149.1118774,-495.338623,1833.638916,-334.3659058,-170.0109253,2124.884033,-277.583374,-466.8126221,2004.502075,-310.5249329,-534.3262329,1910.065918,-273.9551392,-465.8661499,2009.829834,1,1,1,1
24504,1,-267.7289429,-467.0739136,1998.243652,-144.4432373,-508.6734619,1824.401367,-323.4300232,-211.5563965,2112.991699,-269.5925903,-470.2564697,1997.170776,-291.8231506,-565.5325317,1906.163818,-266.4644775,-467.6607666,2002.100342,1,1,1,1
24505,1,-266.1210327,-467.7023926,1996.957764,-138.3740234,-517.4497681,1821.177368,-327.8296204,-228.581604,2103.123047,-267.0725098,-472.7564697,1995.082275,-279.6326294,-591.0922852,1911.726807,-264.5971069,-468.5088501,2000.964233,1,1,1,1
24506,1,-268.725769,-486.5418701,1998.565186,-132.6646118,-524.6816406,1825.543213,-331.0180359,-180.5311279,2100.101563,-270.1552124,-490.9712524,1997.174927,-277.5790405,-611.34021,1924.938721,-267.5731201,-485.6230469,2003.618896,1,1,1,1
24507,1,-254.8756104,-481.7661743,1997.156006,-128.2814941,-531.8626709,1822.370483,-332.925415,-201.1314697,2086.154297,-255.574646,-487.3743286,1995.463013,-268.9794312,-618.9189453,1920.983398,-253.005188,-481.6792603,2001.423706,1,1,1,1
24508,1,-268.2730103,-465.5554199,1981.389771,-113.8140259,-539.7164307,1828.8396,-332.1579285,-194.4597168,2108.007324,-268.7557983,-471.8945313,1980.145996,-270.7747192,-615.8956299,1916.277222,-266.8989868,-465.4779053,1985.427979,1,1,1,1
24509,1,-254.1989746,-492.8148804,1994.03064,-114.6395874,-541.3676758,1819.84314,-322.8089294,-200.6971436,2098.841553,-254.7698975,-497.8852539,1992.264526,-261.2192993,-626.5621948,1910.060547,-253.1741333,-492.2001343,1998.848755,1,1,1,1
24510,1,-267.3276978,-478.8198853,1984.69104,-102.9781494,-551.2056274,1825.42041,-326.4546509,-197.4503174,2092.43335,-267.7208252,-484.7834473,1982.628906,-257.809082,-624.7145996,1892.810791,-266.8300781,-479.3272095,1989.523682,1,1,1,0
24511,1,-255.5579834,-517.5474854,1994.591309,-100.2908325,-560.4233398,1820.814209,-325.1031799,-200.083252,2077.961426,-255.5805664,-521.6281128,1993.843384,-244.3153076,-652.3148193,1904.062378,-255.9710083,-516.1357422,1998.789429,1,1,1,0
24512,1,-245.5011597,-544.3928833,1985.962402,-95.50201416,-570.6248779,1819.057129,-335.567688,-225.244873,2078.568604,-245.4074707,-549.5004272,1984.285278,-240.1436157,-674.3546753,1903.710938,-245.0687256,-544.0546265,1989.62793,1,1,1,0
24513,1,-245.180542,-550.6343994,2000.680176,-88.2166748,-573.44104,1810.626465,-334.7701111,-225.359436,2090.25293,-243.887085,-555.4752197,1997.14917,-221.7766724,-674.4838867,1864.442627,-244.5120239,-549.9674683,2004.115723,1,1,1,0
