id,trial,headFront_x,headFront_y,headFront_z,headFront_confidence,neck_x,neck_y,neck_z,neck_confidence,lowerBack_x,lowerBack_y,lowerBack_z,lowerBack_confidence,leftWrist_x,leftWrist_y,leftWrist_z,leftWrist_confidence,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftShoulder_confidence,leftElbow_x,leftElbow_y,leftElbow_z,leftElbow_confidence
4016,16,-354.1787109,-358.6176758,2039.008423,0.001166703,-297.7338257,-328.2162476,1822.137817,0.8016259,-322.4262695,-97.01617432,2261.035156,0.55794144,-358.1154785,-356.4450073,2037.929321,0.001390003,-464.8865051,-330.2131348,1884.818726,0.7621206,-349.2628784,-358.3151855,2045.831787,0.000973271
4017,16,-353.1439819,-361.0505371,2026.003052,0.001247131,-291.7589722,-328.0906982,1820.286987,0.7976522,-324.4394531,-98.33526611,2257.643066,0.56681764,-357.7011108,-359.6000366,2025.042236,0.001437046,-465.8630676,-330.0684814,1886.650879,0.75977814,-348.9190674,-360.6558228,2033,0.001045301
4018,16,-352.7061768,-360.5663452,2025.620117,0.00125337,-291.1801147,-327.7750244,1820.047729,0.796625,-325.2548828,-97.77807617,2264.908203,0.5783626,-357.130188,-359.1144409,2024.647949,0.001453338,-465.9363403,-329.732666,1885.480103,0.7576582,-348.5672607,-360.0645752,2032.521973,0.001097828
4019,16,-352.6412964,-360.3683472,2027.813232,0.001259465,-291.862793,-327.5725098,1819.718506,0.8045318,-323.4648438,-98.72296143,2267.331299,0.58161646,-357.0928955,-358.8892822,2026.746826,0.001411222,-467.367157,-329.9696045,1885.443848,0.76768935,-348.1237793,-360.2155762,2034.755371,0.001112736
4020,16,-351.0942993,-358.2147827,2029.297119,0.001213045,-292.9213257,-325.942688,1819.260742,0.8037475,-326.6112061,-96.63134766,2263.963379,0.5672302,-355.494751,-356.3826294,2028.279297,0.001404295,-467.7180176,-330.1799316,1885.886841,0.7656816,-346.6934814,-357.8466187,2036.321533,0.001064181
4021,16,-351.0980835,-358.3729858,2029.763184,0.001261897,-292.7143555,-325.8078003,1819.532593,0.80140513,-327.2061157,-94.70373535,2265.549805,0.56843156,-355.5303955,-356.5773315,2028.942627,0.001429184,-467.3143921,-329.7280273,1886.363159,0.76838297,-346.7727051,-358.053894,2037.116211,0.001210175
4022,16,-350.020874,-358.6450806,2028.202637,0.001266026,-293.249939,-325.8864136,1819.909546,0.79944146,-328.0021362,-94.47125244,2261.896484,0.56633586,-354.392334,-357.0750122,2027.451904,0.00146876,-467.5153198,-329.8460693,1886.423706,0.77086914,-345.9278564,-358.3696899,2035.468506,0.001227342
4023,16,-350.1924438,-356.6611938,2028.766846,0.001299809,-293.553772,-325.47229,1819.420898,0.7955728,-329.2791138,-93.94537354,2263.091797,0.5641887,-354.6469727,-354.7509155,2027.876343,0.00147768,-467.0692139,-329.7727661,1886.026855,0.7674157,-346.003418,-356.2702026,2035.919312,0.001252098
4024,16,-351.5783081,-355.4459229,2026.953857,0.001343858,-293.637207,-324.6427002,1819.132935,0.80077547,-330.2546997,-94.78625488,2262.709473,0.56734145,-355.7324219,-353.4414063,2026.387451,0.001465625,-467.2589417,-328.0916138,1886.093262,0.77108914,-347.4735107,-354.9926758,2034.080811,0.001299867
4025,16,-348.4934692,-374.482605,2026.438232,0.001279281,-292.7150879,-332.3838501,1821.15625,0.8033443,-339.4345703,-106.1639404,2275.668213,0.5665363,-352.9672852,-373.0856323,2024.802002,0.00156896,-465.8085327,-335.9353027,1885.852539,0.7678063,-342.9407349,-375.0643921,2034.160522,0.001114673
