id,trial,headFront_x,headFront_y,headFront_z,neck_x,neck_y,neck_z,lowerBack_x,lowerBack_y,lowerBack_z,leftWrist_x,leftWrist_y,leftWrist_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftElbow_x,leftElbow_y,leftElbow_z,s_1,s_2,s_3,s_4
4016,16,-354.1787109,-358.6176758,2039.008423,-297.7338257,-328.2162476,1822.137817,-322.4262695,-97.01617432,2261.035156,-358.1154785,-356.4450073,2037.929321,-464.8865051,-330.2131348,1884.818726,-349.2628784,-358.3151855,2045.831787,0,0,0,0
4017,16,-353.1439819,-361.0505371,2026.003052,-291.7589722,-328.0906982,1820.286987,-324.4394531,-98.33526611,2257.643066,-357.7011108,-359.6000366,2025.042236,-465.8630676,-330.0684814,1886.650879,-348.9190674,-360.6558228,2033,0,0,0,0
4018,16,-352.7061768,-360.5663452,2025.620117,-291.1801147,-327.7750244,1820.047729,-325.2548828,-97.77807617,2264.908203,-357.130188,-359.1144409,2024.647949,-465.9363403,-329.732666,1885.480103,-348.5672607,-360.0645752,2032.521973,0,0,0,0
4019,16,-352.6412964,-360.3683472,2027.813232,-291.862793,-327.5725098,1819.718506,-323.4648438,-98.72296143,2267.331299,-357.0928955,-358.8892822,2026.746826,-467.367157,-329.9696045,1885.443848,-348.1237793,-360.2155762,2034.755371,0,0,0,0
4020,16,-351.0942993,-358.2147827,2029.297119,-292.9213257,-325.942688,1819.260742,-326.6112061,-96.63134766,2263.963379,-355.494751,-356.3826294,2028.279297,-467.7180176,-330.1799316,1885.886841,-346.6934814,-357.8466187,2036.321533,0,0,0,0
4021,16,-351.0980835,-358.3729858,2029.763184,-292.7143555,-325.8078003,1819.532593,-327.2061157,-94.70373535,2265.549805,-355.5303955,-356.5773315,2028.942627,-467.3143921,-329.7280273,1886.363159,-346.7727051,-358.053894,2037.116211,0,0,0,0
4022,16,-350.020874,-358.6450806,2028.202637,-293.249939,-325.8864136,1819.909546,-328.0021362,-94.47125244,2261.896484,-354.392334,-357.0750122,2027.451904,-467.5153198,-329.8460693,1886.423706,-345.9278564,-358.3696899,2035.468506,0,0,0,0
4023,16,-350.1924438,-356.6611938,2028.766846,-293.553772,-325.47229,1819.420898,-329.2791138,-93.94537354,2263.091797,-354.6469727,-354.7509155,2027.876343,-467.0692139,-329.7727661,1886.026855,-346.003418,-356.2702026,2035.919312,0,0,0,0
4024,16,-351.5783081,-355.4459229,2026.953857,-293.637207,-324.6427002,1819.132935,-330.2546997,-94.78625488,2262.709473,-355.7324219,-353.4414063,2026.387451,-467.2589417,-328.0916138,1886.093262,-347.4735107,-354.9926758,2034.080811,0,0,0,0
4025,16,-348.4934692,-374.482605,2026.438232,-292.7150879,-332.3838501,1821.15625,-339.4345703,-106.1639404,2275.668213,-352.9672852,-373.0856323,2024.802002,-465.8085327,-335.9353027,1885.852539,-342.9407349,-375.0643921,2034.160522,0,0,0,0
4026,16,-347.2814941,-369.5609741,2030.542236,-291.6279297,-332.4088745,1821.161011,-333.9405518,-104.078125,2270.671143,-351.7966919,-367.6911621,2029.305176,-465.5878601,-334.4678955,1887.917725,-341.7762451,-369.0865479,2038.663086,0,0,0,0
4027,16,-347.7020874,-373.8716431,2028.081909,-291.5518799,-331.3599243,1820.11499,-337.6465454,-110.0117188,2277.684814,-352.0430908,-372.392395,2026.471924,-465.9505615,-335.5808716,1887.321289,-341.7661743,-374.1281128,2035.973267,0,0,0,0
4028,16,-349.0411987,-370.284668,2025.290039,-291.8292847,-329.4889526,1819.677002,-338.4060059,-106.9042358,2270.998291,-353.2167358,-368.491394,2023.694336,-466.0101013,-335.0287476,1887.642822,-342.8577271,-369.9693604,2032.794556,0,0,0,0
4029,16,-345.6029663,-375.0953369,2029.234497,-291.505188,-330.7579956,1819.755127,-338.1547241,-109.7528687,2276.43042,-350.1425171,-373.6286011,2027.707397,-465.8082275,-335.8449097,1886.928223,-339.9224854,-375.086853,2037.149902,0,0,0,0
4030,16,-343.1664429,-374.6286011,2030.58252,-291.0352173,-331.6245728,1819.624756,-337.8173828,-108.9979858,2277.407471,-347.7779541,-373.2735596,2029.033325,-466.1111755,-336.3637085,1886.597412,-337.8394165,-374.4108276,2038.476807,0,0,0,0
4031,16,-342.6710205,-375.0509033,2030.094727,-290.6452026,-331.4634399,1819.492432,-337.0036011,-109.8717041,2278.605225,-347.2915649,-373.7370605,2028.617676,-465.642395,-336.12146,1886.386963,-337.2694092,-374.8503418,2037.969482,0,0,0,0
4032,16,-344.4730835,-378.8132935,2030.591797,-291.9970093,-334.0578003,1819.998169,-332.4514771,-110.4309082,2280.481689,-349.109436,-377.4587402,2029.17627,-465.5674133,-337.4793091,1887.064697,-338.5831299,-378.5855713,2038.377686,0,0,0,0
4033,16,-343.553833,-379.0128784,2031.432373,-292.1046753,-334.5606079,1820.375366,-334.8071899,-110.1083984,2279.529053,-348.1999512,-377.6925049,2030.073242,-465.6516724,-337.0272827,1886.852173,-337.8428955,-378.9828491,2039.158691,0,0,0,0
4034,16,-349.0189819,-359.7957153,2033.279907,-290.5849609,-329.7922363,1819.900635,-329.1762695,-99.74267578,2273.918457,-353.366394,-358.1610718,2032.388184,-466.7561951,-330.5942993,1885.8479,-344.6283569,-359.3051758,2040.750854,0,0,0,0
4035,16,-349.1687622,-361.2369385,2032.77417,-290.416748,-329.2733765,1819.588501,-328.7771606,-99.70214844,2272.666748,-353.5145874,-359.5751953,2031.846069,-466.9350281,-330.9106445,1886.336914,-344.6804199,-360.8336792,2040.227783,0,0,0,0
4036,16,-348.9093018,-362.007019,2033.529663,-290.7972412,-329.7126465,1819.577515,-329.0507202,-99.62921143,2272.114014,-353.2601929,-360.4262695,2032.453491,-467.1069641,-330.796936,1885.607056,-344.546814,-361.6148682,2040.873779,0,0,0,0
4037,16,-349.5848999,-360.0886841,2032.642822,-291.2427979,-329.5159302,1819.714111,-329.1365967,-99.85980225,2273.806152,-353.8916626,-358.617981,2031.643799,-467.5184631,-331.2980347,1886.285034,-345.1900635,-359.6246338,2040.14917,0,0,0,0
4038,16,-349.6760864,-359.5198364,2032.671631,-291.1307983,-329.1030273,1819.822632,-329.3188477,-99.97381592,2275.752441,-354.0186157,-358.0654907,2031.544189,-467.5342407,-331.3829956,1885.995361,-345.2947998,-359.076355,2040.051758,0,0,0,0
4039,16,-349.0484619,-360.000061,2032.494873,-290.9568481,-329.2473755,1819.468994,-328.6901855,-99.94763184,2277.315918,-353.4192505,-358.5652466,2031.452026,-467.4969788,-331.2305908,1885.989502,-344.5623779,-359.5129395,2040.03772,0,0,0,0
4040,16,-348.5117188,-361.4151001,2031.906006,-291.4854736,-329.4890137,1819.702393,-328.3751831,-100.0081177,2276.895264,-352.7695313,-359.9125977,2030.836182,-467.4829102,-331.3796997,1886.249268,-343.9307251,-360.9572144,2039.449829,0,0,0,0
4041,16,-350.2790527,-356.0112305,2030.879639,-293.6917725,-325.8416748,1818.075928,-327.8915405,-97.49963379,2272.386719,-354.6633911,-354.2060547,2029.77002,-467.5372314,-330.300293,1886.174194,-345.980835,-355.3250122,2038.665039,0,0,0,0
4042,16,-349.0195923,-359.2434082,2034.355835,-293.6560669,-328.5807495,1819.204834,-328.7766113,-98.38781738,2276.304688,-353.3882446,-357.5927734,2033.274292,-467.2414551,-330.0805054,1884.208252,-344.7494507,-358.6375122,2041.903687,0,0,0,0
4043,16,-351.776001,-355.4050293,2030.707886,-294.8569336,-327.6828613,1818.860962,-328.4715576,-97.52416992,2273.22998,-356.1647949,-353.4818115,2029.486084,-467.6411438,-330.729126,1885.230469,-347.4080811,-354.6956177,2038.363037,0,0,0,0
4044,16,-350.1801758,-355.8482666,2029.77124,-294.168396,-327.2286987,1818.828125,-329.1574097,-97.49182129,2272.867188,-354.5039673,-353.9682617,2028.421631,-467.4039307,-330.4658813,1885.231323,-345.9465942,-355.114563,2037.350098,0,0,0,0
4045,16,-349.8877563,-355.9486694,2030.437012,-294.0288086,-326.6962891,1818.477539,-329.3868408,-97.5604248,2271.695068,-354.3898926,-354.2061768,2029.008057,-467.572052,-330.3325195,1885.627197,-345.5648193,-355.2207031,2037.843018,0,0,0,0
4046,16,-351.3648682,-355.6048584,2029.043213,-294.2460327,-326.3874512,1818.653564,-329.328186,-97.58477783,2271.845703,-355.8493652,-353.8312988,2027.629639,-467.3924866,-330.3657837,1886.598999,-346.9871216,-354.8599854,2036.395386,0,0,0,0
4047,16,-352.6832275,-353.9122925,2029.381836,-293.9263916,-325.2781372,1817.699463,-329.795105,-99.23034668,2273.723877,-356.9678345,-351.9750366,2028.142944,-467.2100525,-328.5477295,1886.494019,-348.3305664,-353.1987305,2036.879883,0,0,0,0
4048,16,-353.1113281,-353.5498047,2029.732178,-294.1730347,-325.7258301,1817.88562,-329.3829956,-98.984375,2274.647949,-357.5026855,-351.4986572,2028.550293,-466.9843445,-328.4812012,1886.837158,-348.8049316,-352.8130493,2037.287842,0,0,0,0
4049,16,-346.3599854,-369.1351929,2029.325195,-291.0996094,-331.838501,1819.482544,-332.1920166,-104.8483887,2280.429199,-350.7080688,-367.163147,2027.827881,-466.2415466,-333.8909912,1886.504395,-340.987793,-367.9850464,2036.815918,0,0,0,0
4050,16,-346.1921997,-365.2234497,2028.500977,-292.09552,-331.4960327,1819.023193,-333.1428833,-103.7817993,2278.019287,-350.6864624,-363.2429199,2026.974609,-466.3669128,-332.7602539,1885.251221,-340.7322998,-364.2645874,2036.106323,0,0,0,0
4051,16,-344.8439331,-361.1369019,2029.684204,-293.2351074,-332.0623779,1819.175903,-333.1834106,-100.1763306,2272.655518,-349.3587646,-359.3358154,2028.53479,-466.4172363,-332.8549194,1885.507324,-339.8467407,-360.1709595,2037.227295,0,0,0,0
4052,16,-344.8005981,-359.5671997,2030.787354,-292.9470215,-331.7074585,1819.831299,-332.1705322,-99.3918457,2272.100098,-349.2423096,-357.8007813,2029.705322,-467.0530396,-332.368042,1886.988647,-340.1855469,-358.8821411,2038.437866,0,0,0,0
4053,16,-348.0527954,-357.5683594,2029.777344,-293.3349609,-329.6964722,1819.375,-331.5946655,-98.37481689,2269.193848,-352.5397339,-355.7584229,2028.485352,-467.5749512,-333.9563599,1887.697144,-343.4240112,-356.6741943,2037.526367,0,0,0,0
4054,16,-346.6376953,-359.8079224,2031.287598,-292.019165,-330.6712646,1820.7948,-330.4274902,-99.39025879,2274.621826,-351.0765991,-358.2871704,2030.305786,-467.5795593,-332.9343872,1886.226563,-341.9699707,-359.1655273,2038.736084,0,0,0,0
4055,16,-345.6865234,-360.0148926,2031.832153,-292.1000977,-330.6914063,1820.425781,-330.315918,-98.99359131,2274.379395,-350.1045532,-358.4586792,2030.758545,-467.4607849,-332.9266968,1886.278442,-340.9598999,-359.3588257,2039.208496,0,0,0,0
4056,16,-346.2221069,-359.3555908,2031.61084,-292.6204224,-330.0438232,1819.619019,-330.1102295,-97.24438477,2270.004883,-350.6884766,-357.6762695,2030.488647,-467.2805176,-333.1671753,1886.255493,-341.7796631,-358.6069946,2038.958618,0,0,0,0
4057,16,-346.6195679,-358.645874,2032.025146,-291.9157104,-329.6682739,1819.674927,-329.7526245,-98.09869385,2269.358887,-351.1185913,-357.0856323,2031.010132,-466.9769287,-333.7792358,1886.700195,-342.15448,-357.8396606,2039.399902,0,0,0,0
4058,16,-348.2363281,-358.5770874,2033.199219,-292.4570313,-326.602356,1818.783203,-333.0257568,-99.21026611,2272.555664,-352.7254639,-357.1133423,2032.006348,-467.4154053,-332.8508301,1886.598877,-343.7572632,-357.6072388,2040.675903,0,0,0,0
4059,16,-347.8971558,-359.7092896,2030.95752,-291.5413208,-328.7241821,1819.294312,-331.8242798,-98.76678467,2271.888184,-352.4204102,-358.1837769,2029.850586,-466.9566345,-333.8024292,1886.686646,-343.2943726,-358.7127075,2038.332886,0,0,0,0
4060,16,-348.8232422,-359.7207642,2030.779541,-291.2025146,-329.0180664,1819.349487,-331.2253418,-98.20703125,2270.80957,-353.3092651,-358.1966553,2029.620483,-466.6965942,-333.5429688,1886.674561,-344.1928101,-358.7907104,2038.086182,0,0,0,0
4061,16,-348.0906982,-359.8143311,2032.204224,-291.8352051,-329.2678833,1819.373779,-331.5872192,-98.42999268,2271.50415,-352.6727295,-358.2151489,2030.964844,-467.1437073,-333.7069092,1886.693115,-343.4732056,-358.7567139,2039.622559,0,0,0,0
