id,trial,H_headTop_x,H_headTop_y,H_headTop_z,H_headTop_confidence,H_neck_x,H_neck_y,H_neck_z,H_neck_confidence,H_tailBase_x,H_tailBase_y,H_tailBase_z,H_tailBase_confidence,H_lEar_x,H_lEar_y,H_lEar_z,H_lEar_confidence,H_lShoulder_x,H_lShoulder_y,H_lShoulder_z,H_lShoulder_confidence,H_lElbow_x,H_lElbow_y,H_lElbow_z,H_lElbow_confidence,H_lWrist_x,H_lWrist_y,H_lWrist_z,H_lWrist_confidence,H_lHip_x,H_lHip_y,H_lHip_z,H_lHip_confidence,H_rEar_x,H_rEar_y,H_rEar_z,H_rEar_confidence,H_rShoulder_x,H_rShoulder_y,H_rShoulder_z,H_rShoulder_confidence,H_rHip_x,H_rHip_y,H_rHip_z,H_rHip_confidence,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
4016,16,-121.4812622,-530.5564575,1666.505859,0.89943475,-167.74646,-352.8339844,1809.939941,0.92439324,-261.3462524,-84.26635742,2286.69043,0.7727151,-218.0587158,-457.019928,1734.507324,0.91681284,-344.5212708,-342.8388672,1872.214844,0.85013014,-220.2033691,-377.7648926,1972.333496,0.000566733,-218.9665527,-377.6702576,1970.973267,0.000579831,-360.677063,-140.7213745,2273.649414,0.8193935,-63.26062012,-449.0186768,1757.164307,0.91151184,-3.860595703,-326.878418,1885.770264,0.8537771,-131.9909058,-119.6520996,2292.940186,0.8087757,1,1,1,1,0,0,0,0
4017,16,-119.9706421,-539.1170044,1670.003906,0.88835406,-166.3357544,-367.6204834,1812.243042,0.89346397,-252.7487793,-88.62390137,2286.472168,0.787323,-216.4229736,-465.4476318,1738.05835,0.9359317,-348.202301,-361.1296997,1878.240723,0.91466326,-216.0280151,-386.0081177,1977.194092,0.000607824,-214.925415,-386.1371765,1976.06897,0.000608059,-357.3925476,-147.8226929,2274.419434,0.8360323,-63.67785645,-457.6057129,1760.248535,0.9197965,-8.604614258,-336.0301514,1881.825928,0.89803547,-124.6970215,-121.0267334,2287.869629,0.77216434,1,1,1,1,0,0,0,0
4018,16,-123.8305054,-551.9039307,1676.709106,0.89745057,-163.8809204,-376.5925903,1812.952637,0.8848238,-258.5406189,-86.94818115,2286.450439,0.8049489,-218.7819214,-477.7896729,1742.115723,0.9386416,-344.1348267,-363.8396606,1881.71814,0.91745466,-218.0871277,-389.7697144,1974.397949,0.000684964,-217.0126953,-389.3747864,1973.525024,0.000688964,-359.5407715,-148.4845581,2275.881104,0.8617744,-64.43676758,-465.0048523,1764.829224,0.9128418,-6.803039551,-338.5522461,1881.371826,0.90224355,-127.8027954,-120.3783569,2287.047607,0.79099375,1,1,1,1,0,0,0,0
4019,16,-122.5578003,-570.8605347,1686.418213,0.8833687,-166.5547485,-389.190033,1815.99353,0.8850478,-251.8955383,-92.98596191,2286.054932,0.80712324,-219.5713806,-490.4157715,1748.946655,0.9312391,-344.4596558,-373.4769287,1884.706055,0.9171652,-222.6043091,-399.9590149,1981.228516,0.000660139,-221.3586731,-399.6679077,1980.427734,0.000662945,-359.9107971,-154.4041138,2274.172852,0.8228358,-64.8526001,-483.9646606,1770.701782,0.8934122,-6.941589355,-352.343811,1881.456543,0.9112723,-122.7846069,-126.2186279,2285.758545,0.7555308,1,1,1,1,0,0,0,0
4020,16,-121.9852905,-578.3588867,1688.539185,0.90850955,-166.2861938,-400.2978821,1818.140991,0.88341695,-250.069519,-97.51611328,2286.547852,0.77235645,-221.6560364,-504.5031738,1752.360718,0.94247633,-341.4076843,-384.086853,1890.510742,0.88813317,-214.5356445,-407.6499023,1976.811157,0.000616511,-213.3934326,-407.4375305,1975.950684,0.000619613,-361.778656,-156.2935791,2275.342529,0.8154225,-65.13720703,-491.8099976,1768.947144,0.91806537,-6.964660645,-361.2550659,1882.694702,0.9195694,-117.2207642,-133.0921021,2290.992676,0.74794185,1,1,1,1,0,0,0,0
4021,16,-125.7403564,-595.4893799,1698.1427,0.9328826,-168.7332153,-412.2054138,1820.909668,0.87451553,-252.7647705,-97.50598145,2281.23291,0.76855105,-225.3613892,-514.4185791,1759.781006,0.9055405,-338.4436951,-397.3635254,1897.605103,0.8290336,-222.5870972,-412.8093262,1975.800659,0.000479068,-221.3839111,-412.7852783,1975.356689,0.000495289,-362.4663391,-160.7873535,2265.391113,0.817089,-66.62805176,-510.559082,1777.808716,0.9202824,-12.66101074,-370.6680298,1879.715088,0.8962287,-123.491272,-127.671936,2291.994629,0.7535376,1,1,1,1,0,0,0,0
4022,16,-132.3312378,-611.1323242,1706.810913,0.90259224,-166.2811279,-430.0784912,1826.84729,0.88422596,-254.1791382,-102.1470337,2279.416992,0.75207007,-231.06073,-526.6578979,1767.454468,0.9494296,-335.9932861,-399.0756836,1898.143555,0.81337005,-226.0824585,-413.3385315,1969.748901,0.000545237,-224.6747437,-413.4462891,1969.220459,0.000553591,-361.3911743,-168.2421265,2261.601318,0.8178204,-71.13916016,-530.4573364,1790.609131,0.83504623,-7.55065918,-378.7907104,1883.613281,0.8959271,-124.9126587,-132.7466431,2294.494141,0.755757,1,1,1,1,0,0,0,0
4023,16,-136.067627,-629.9155273,1713.367554,0.9142025,-165.244812,-438.6314697,1831.712769,0.88528925,-253.9616699,-105.0117798,2282.87207,0.77813625,-228.9532471,-539.7506104,1776.185791,0.91551226,-335.6313782,-408.664856,1902.774658,0.85864466,-217.4602051,-413.0183105,1983.703735,0.000502035,-215.9783936,-413.0019531,1982.9104,0.000514246,-363.2870789,-170.5866699,2264.560303,0.823401,-70.06469727,-542.8903809,1794.160522,0.8693711,-3.329345703,-402.9862671,1898.208008,0.821239,-120.5482178,-133.2661133,2294.97583,0.7439394,1,1,1,1,0,0,0,0
4024,16,-136.6958618,-635.2297363,1718.694336,0.9165604,-166.3908081,-457.0663452,1835.982056,0.90964997,-271.3134766,-112.7180176,2272.304932,0.8257906,-234.2116699,-552.781311,1782.664307,0.91931933,-336.7808838,-423.9226074,1906.496338,0.8664391,-213.2228394,-432.3790588,1991.287476,0.000550331,-211.9754333,-432.4726257,1990.885498,0.000566733,-376.0713196,-176.8034058,2260.016602,0.8802822,-79.64624023,-552.5787354,1799.391602,0.7660449,-12.70947266,-411.103302,1890.18811,0.83152413,-134.0968628,-132.1948242,2291.13916,0.76851374,1,1,1,1,0,0,0,0
4025,16,-132.7435913,-649.2396851,1722.276001,0.9570773,-165.934021,-472.3373413,1839.831299,0.9071206,-276.4396973,-123.4371338,2284.663086,0.84940845,-235.9724731,-568.7337646,1788.893799,0.9154359,-334.6200562,-435.9466553,1906.408813,0.8913935,-203.4744263,-450.3281555,1995.679443,0.000509834,-202.2827759,-450.3615112,1995.327271,0.00053513,-376.2120972,-180.2835693,2263.140137,0.8151159,-79.91345215,-566.9763184,1806.136353,0.7934418,-16.52246094,-433.468689,1897.001709,0.88848215,-131.8955078,-146.0039063,2302.395508,0.81819177,1,1,1,1,0,0,0,0
4026,16,-139.4358521,-664.2388916,1729.33252,0.8993352,-168.7260742,-486.7198486,1845.077881,0.84899837,-278.4210815,-125.7441406,2281.903809,0.8444917,-238.7030029,-584.0861206,1796.539917,0.9060027,-336.4383545,-445.8486633,1911.707275,0.8501315,-207.6644592,-455.1032715,1998.916382,0.000642186,-206.2587891,-455.0450439,1998.470947,0.000659248,-383.0690308,-188.5908813,2263.860352,0.83692133,-82.13720703,-577.7286377,1808.65918,0.9072249,-20.15917969,-441.9463196,1897.730469,0.8661898,-128.6061401,-146.8850098,2302.293945,0.8038165,1,1,1,1,0,0,0,0
4027,16,-146.6370239,-681.0128784,1738.29895,0.8977562,-172.6205444,-497.5147095,1849.810303,0.8681788,-280.4363098,-126.0425415,2272.038086,0.854376,-243.5975342,-596.2843628,1804.479492,0.8832717,-334.7420959,-444.9154663,1915.938721,0.83929485,-216.481781,-445.6035767,1994.053833,0.000535794,-214.788208,-445.3242798,1993.479248,0.000553719,-383.747345,-191.5092773,2259.637695,0.868396,-85.92443848,-595.4981689,1816.118652,0.91114956,-19.95874023,-458.4465332,1907.331055,0.90384257,-134.0386963,-142.8143311,2279.79541,0.8080363,1,1,1,1,0,0,0,0
4028,16,-148.041748,-691.9986572,1745.65332,0.93301946,-178.6451416,-504.8273315,1854.243042,0.9075176,-274.5725098,-122.6938477,2261.402344,0.87409484,-248.5076294,-607.1143799,1805.206665,0.86914754,-340.4056702,-475.7271729,1919.230469,0.8488147,-214.7349243,-428.7889709,1992.797974,0.000527375,-213.0899048,-428.2341309,1991.997803,0.000540446,-376.3411255,-188.1413574,2254.306641,0.8705915,-89.03289795,-609.5994873,1827.397339,0.8466247,-17.68371582,-475.2993164,1924.376099,0.8408932,-135.6103516,-144.8920898,2268.412598,0.73893416,1,1,1,1,0,0,0,0
4029,16,-145.774231,-706.1939697,1750.883789,0.9083542,-184.8896484,-517.2233276,1856.473877,0.8934507,-276.567749,-127.2400513,2267.615967,0.859194,-249.3411865,-623.0537109,1811.190918,0.8969097,-347.134552,-483.9198914,1919.911377,0.84561217,-215.9534912,-424.3275757,1999.32959,0.000556121,-214.4752808,-423.7411804,1998.469727,0.000574814,-379.1387939,-193.2735596,2258.163574,0.8510202,-96.1184082,-624.4390869,1836.284546,0.8384525,-21.64007568,-488.6221313,1923.76709,0.807812,-136.3188477,-152.4724731,2270.827637,0.7169336,1,1,1,1,0,0,0,0
4030,16,-155.1040039,-724.4233398,1762.020142,0.887068,-186.1598511,-526.7865601,1856.518066,0.88478017,-272.5028076,-121.3979492,2255.342773,0.7567331,-253.6907043,-632.9196777,1817.159668,0.8649913,-350.6887207,-488.9131775,1925.32605,0.8023351,-235.5799561,-464.6105347,2009.680176,0.000510974,-234.0877686,-463.7493286,2009.332275,0.000541482,-379.4804382,-192.2260132,2255.31958,0.8116736,-94.78222656,-633.2188721,1833.864868,0.91363096,-28.43450928,-496.5354614,1925.76355,0.8315224,-135.3790894,-142.7014771,2258.069336,0.6725728,1,1,1,1,0,0,0,0
4031,16,-158.5172119,-744.1416016,1772.068115,0.86566335,-190.3015137,-536.9525146,1857.414551,0.85879636,-276.1447144,-132.4991455,2253.160889,0.7650956,-257.1922607,-649.8627319,1821.796509,0.8167502,-351.4778442,-498.6586914,1924.925171,0.7818899,-240.2029419,-479.5712891,2012.086792,0.000531979,-238.8307495,-479.0777893,2011.74292,0.000544883,-378.7096558,-199.9802246,2245.83667,0.7802713,-103.7412109,-648.4574585,1840.070679,0.8301003,-31.09277344,-506.0119019,1924.699463,0.85150504,-136.2786865,-155.8599854,2255.771729,0.7311623,1,1,1,1,0,0,0,0
4032,16,-156.3323364,-749.6363525,1771.776733,0.85130686,-192.0622559,-552.5391235,1862.080811,0.8882932,-279.4287109,-139.9685059,2252.850586,0.7777018,-260.1215515,-660.7630005,1823.993286,0.86171615,-358.4013977,-516.6190186,1926.104004,0.7285585,-255.2580566,-507.0470581,2021.907227,0.000490383,-253.8692017,-506.3963623,2021.600586,0.000483682,-383.9550781,-212.3951416,2244.071289,0.83250856,-102.9203491,-663.5326538,1846.755615,0.84423554,-35.51733398,-517.5720215,1927.677612,0.844732,-122.8741455,-161.1168213,2264.692383,0.6380483,1,1,1,1,0,0,0,0
4033,16,-167.5089111,-750.7887573,1761.539307,0.90061057,-199.5807495,-560.3699951,1863.019043,0.8854319,-268.7056274,-138.0377197,2252.217773,0.84912044,-263.71875,-672.039917,1824.827271,0.9055641,-359.1672974,-518.9181519,1929.220093,0.7475601,-253.5852051,-514.2937012,2027.234497,0.000411593,-252.2488403,-514.0245972,2026.757324,0.000457324,-379.8868713,-207.6931763,2247.250244,0.8364784,-109.53479,-669.8928223,1844.23877,0.82458764,-35.81359863,-525.3220825,1933.15564,0.77224207,-124.1831665,-158.4381104,2257.765137,0.7719966,1,1,1,1,0,0,0,0
4034,16,-167.5065918,-776.7581177,1778.16394,0.85549766,-201.8703613,-568.6151733,1860.983643,0.8343937,-268.3002319,-136.84375,2242.18042,0.84133303,-266.869812,-681.8081055,1827.898193,0.83594817,-362.5299988,-514.5809326,1923.894775,0.80611366,-257.9655762,-516.9589844,2017.609009,0.000401436,-256.8158569,-516.2548218,2017.439697,0.000416314,-377.765625,-210.4060059,2234.446045,0.80906,-112.4874878,-682.541626,1847.920166,0.82387334,-35.94567871,-534.1468506,1929.469604,0.8555098,-124.1951904,-160.6455078,2251.070068,0.77009326,1,1,1,1,0,0,0,0
4035,16,-174.6008301,-782.8831787,1779.260376,0.7830602,-203.5806885,-570.4512329,1857.393555,0.85734004,-262.5169678,-137.7358398,2236.703125,0.8329917,-268.5986633,-686.9230957,1831.529053,0.7954758,-355.3359375,-513.6528931,1924.263306,0.8095129,-250.6990356,-518.8096924,2009.894287,0.000425901,-250.1383362,-517.9345093,2010.163818,0.000465558,-375.6157227,-206.9613647,2233.648926,0.8251838,-115.2717285,-690.2735596,1841.063843,0.8513144,-40.05426025,-540.7052002,1923.50354,0.8528732,-121.0230103,-163.473877,2240.362305,0.7606754,1,1,1,1,0,0,0,0
4036,16,-179.5342407,-796.9179688,1781.291016,0.80187714,-208.4990845,-583.6282959,1860.213867,0.8441801,-277.6332703,-146.6546631,2238.722168,0.78166527,-274.401062,-699.2463379,1833.602539,0.8195306,-370.633667,-534.6083374,1933.535645,0.719857,-257.6967163,-532.4012451,2016.224243,0.000451075,-257.482605,-532.1322632,2016.056152,0.000443378,-386.8408813,-217.5129395,2233.61377,0.8168415,-120.8045654,-703.7949219,1846.873291,0.8391406,-38.61560059,-543.5855713,1920.219238,0.84050363,-127.034668,-170.4760742,2251.456055,0.73468477,1,1,1,1,0,0,0,0
