time_stamp_m,time_stamp_s,id,trial,H_headTop_x,H_headTop_y,H_headTop_z,H_neck_x,H_neck_y,H_neck_z,H_tailBase_x,H_tailBase_y,H_tailBase_z,H_lEar_x,H_lEar_y,H_lEar_z,H_lShoulder_x,H_lShoulder_y,H_lShoulder_z,H_lElbow_x,H_lElbow_y,H_lElbow_z,H_lWrist_x,H_lWrist_y,H_lWrist_z,H_lHip_x,H_lHip_y,H_lHip_z,H_rEar_x,H_rEar_y,H_rEar_z,H_rShoulder_x,H_rShoulder_y,H_rShoulder_z,H_rHip_x,H_rHip_y,H_rHip_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
8.158,489.48,24474,1,-177.6689453,-461.9284363,1656.583008,-266.534668,-309.9744263,1813.077637,-349.347168,-82.12420654,2302.636719,-295.5358887,-409.442688,1719.87439,-443.5088806,-328.307373,1867.244019,-300.9314575,-329.2219849,1978.244507,-299.85495,-328.9937439,1977.553711,-458.7574463,-135.4893799,2290.242676,-147.5593872,-372.4488831,1741.854492,-116.8452148,-280.8388672,1906.345703,-220.4467773,-116.1436157,2300.926758,1,1,1,1,0,0,0,0
8.158333333,489.5,24475,1,-171.2739258,-461.3382568,1657.040161,-263.1728516,-309.8102417,1811.803345,-349.9767761,-81.86798096,2302.335693,-290.8151245,-411.5081177,1720.299805,-442.1054077,-331.456543,1869.688354,-301.7414856,-330.3149414,1979.965576,-300.5968018,-330.1087036,1979.165894,-458.5439453,-136.3571777,2293.505859,-144.1036377,-372.5809631,1742.320313,-115.6982422,-275.3548584,1903.865723,-220.9879761,-116.086853,2301.263672,1,1,1,1,0,0,0,0
8.158666667,489.52,24476,1,-166.1323853,-461.7341003,1658.006836,-258.7711182,-311.3267822,1810.890137,-346.4451904,-86.56072998,2310.476563,-289.8595581,-409.3722229,1717.082275,-433.409668,-336.6531372,1869.817627,-297.0205383,-334.7134399,1978.232788,-295.9569092,-334.7351074,1977.482666,-454.6961365,-141.9715576,2307.382813,-141.434082,-369.236145,1741.166016,-109.4066772,-280.7369995,1904.321045,-219.9693604,-121.1147461,2302.39502,1,1,1,1,0,0,0,0
8.159,489.54,24477,1,-162.5905151,-458.7613525,1659.88208,-256.0007935,-317.0202942,1813.216064,-346.8023987,-86.31359863,2310.899414,-282.4931641,-411.7752075,1719.650024,-426.8166809,-336.5095215,1866.059448,-300.34198,-342.6986389,1984.14624,-299.2277527,-342.6151733,1983.588623,-457.5922852,-144.5787354,2308.002686,-133.7949219,-370.6859741,1748.894287,-110.939209,-277.1963501,1901.220093,-220.2434692,-121.5,2300.424805,1,1,1,1,0,0,0,0
8.159333333,489.56,24478,1,-155.0576172,-457.8300781,1660.880859,-251.5415039,-317.2858887,1811.974731,-348.5443115,-84.73352051,2310.289307,-275.0344849,-417.0078735,1720.568481,-422.2819519,-338.8694458,1865.137451,-301.0250854,-341.2783813,1985.19751,-299.7928162,-341.2011719,1984.598389,-458.5218201,-145.1849365,2308.321777,-128.446106,-370.0748596,1747.22522,-107.8283691,-275.9893799,1900.355957,-221.1965942,-120.5730591,2297.782227,1,1,1,1,0,0,0,0
8.159666667,489.58,24479,1,-153.7281494,-459.9944458,1659.690796,-245.8554688,-317.6307373,1809.593994,-348.5414124,-86.81170654,2311.908936,-271.458252,-417.8393555,1717.210449,-417.5523682,-341.0727539,1866.202393,-301.5527954,-352.2875061,1989.218994,-300.241272,-352.0249329,1988.478271,-457.9718628,-140.7094116,2308.419434,-122.4533691,-371.8609314,1742.105347,-103.6175537,-274.1575928,1896.384644,-220.7419434,-128.6688232,2302.599609,1,1,1,1,0,0,0,0
8.16,489.6,24480,1,-147.3999023,-459.8329773,1661.594238,-242.633667,-316.4539795,1811.006958,-355.0931702,-80.20111084,2291.543945,-266.2165527,-421.2255249,1715.577148,-413.0745239,-345.3161621,1869.425415,-300.1922913,-357.8041992,1984.391113,-298.7446899,-357.4162903,1983.76001,-461.9971619,-140.1785889,2293.877441,-119.4715576,-370.2277832,1743.395386,-98.2333374,-278.6549683,1902.547241,-224.2478027,-123.0212402,2293.153809,1,1,1,1,0,0,0,0
8.160333333,489.62,24481,1,-142.1555176,-458.4928589,1662.674072,-239.5567627,-316.739502,1810.472412,-355.6516113,-79.56207275,2282.623047,-260.6369019,-422.1360474,1715.776978,-410.1963501,-352.4389038,1869.45166,-296.5681763,-351.2977295,1984.93042,-295.1234131,-351.0205383,1984.291382,-462.7955322,-138.8682861,2283.083008,-114.2315063,-373.5487061,1741.928101,-96.71087646,-278.8447266,1899.833984,-226.0819702,-122.9304199,2286.910156,1,1,1,1,0,0,0,0
8.160666667,489.64,24482,1,-137.487854,-461.2871399,1663.449951,-235.5950928,-317.9092407,1811.884155,-350.6109619,-90.41314697,2298.240479,-255.4798584,-425.3139648,1718.558472,-404.4841309,-351.7190552,1872.8479,-290.4719849,-360.5718689,1988.730957,-289.1656494,-360.1796875,1987.980469,-461.1386719,-145.3248291,2293.195801,-108.3546753,-378.9660034,1745.099976,-94.50085449,-281.4578247,1899.068115,-222.651001,-133.3234863,2295.718262,1,1,1,1,0,0,0,0
8.161,489.66,24483,1,-136.0231934,-459.7855225,1664.200928,-230.8657227,-322.6328735,1815.486572,-354.8303528,-85.38171387,2269.088379,-249.8863525,-431.4771118,1715.079346,-402.397583,-360.2103882,1874.994873,-291.2738953,-359.5899048,1979.508301,-289.9505005,-358.867981,1978.944702,-462.9060974,-142.9049683,2264.812012,-103.5792847,-382.3776245,1743.060913,-90.63970947,-284.0765991,1898.860596,-223.4741821,-126.7850952,2282.345215,1,1,1,1,0,0,0,0
