time_stamp_m,time_stamp_s,id,trial,nose_x,nose_y,nose_z,headTop_x,headTop_y,headTop_z,neck_x,neck_y,neck_z,tailBase_x,tailBase_y,tailBase_z,lEar_x,lEar_y,lEar_z,lShoulder_x,lShoulder_y,lShoulder_z,lElbow_x,lElbow_y,lElbow_z,lWrist_x,lWrist_y,lWrist_z,lHip_x,lHip_y,lHip_z,lKnee_x,lKnee_y,lKnee_z,lAnkle_x,lAnkle_y,lAnkle_z,rEar_x,rEar_y,rEar_z,rShoulder_x,rShoulder_y,rShoulder_z,rElbow_x,rElbow_y,rElbow_z,rWrist_x,rWrist_y,rWrist_z,rHip_x,rHip_y,rHip_z,rKnee_x,rKnee_y,rKnee_z,rAnkle_x,rAnkle_y,rAnkle_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
1.338666667,80.32,4016,16,1200.114502,-541.5146484,1623.951904,1205.187378,-535.9892578,1575.350342,1366.054199,-449.3919678,1712.346191,1304.654053,-598.7298584,1991.611328,1243.063599,-461.3883362,1557.008057,1322.80481,-466.5181885,1647.63562,1204.60791,-475.7858887,1816.535034,976.5581055,-369.90802,1537.676025,1340.78064,-511.199585,1969.976318,1262.807617,-416.6219482,1936.310425,1341.430542,-517.6134033,1973.626343,1307.803467,-545.2739868,1597.680664,1197.574341,-471.1328735,1674.51709,1352.531494,-429.2857971,1831.619019,1162.496826,-305.1119385,1515.351807,1269.797363,-584.0509033,2016.330811,1298.424316,-510.9107361,2106.65332,1155.207764,-434.8670654,1803.665283,1,1,1,1,0,0,0,0
1.339,80.34,4017,16,1200.651855,-541.711731,1639.986328,1207.327637,-536.0968628,1590.489258,1366.012836,-449.1119633,1712.346191,1304.599078,-598.4299985,1991.556353,1242.94738,-460.7194706,1556.891838,1321.776367,-471.7127075,1664.225952,1204.487761,-475.0643148,1816.414885,976.4643187,-369.307635,1537.582238,1340.651401,-510.4088855,1969.847079,1262.701153,-415.8582619,1936.203961,1341.299766,-516.8216508,1973.495567,1307.667034,-544.5796392,1597.544231,1197.455638,-470.4468139,1674.398387,1352.422049,-428.5256175,1831.509574,1154.907959,-306.3529053,1506.441406,1264.564697,-581.8625488,2024.786377,1313.049438,-507.47229,2116.477295,1155.167741,-434.5979319,1803.62526,1,1,1,1,0,0,0,0
1.339333333,80.36,4018,16,1199.473489,-536.5828429,1633.558954,1205.616892,-531.0740318,1584.375742,1365.563724,-446.0336457,1712.346191,1304.000648,-595.1338431,1990.957923,1240.643783,-446.7202745,1554.588241,1321.248163,-464.6354999,1657.730099,1202.11244,-459.9598015,1814.039564,974.6177805,-356.7374022,1535.7357,1338.099357,-493.8563931,1967.295035,1260.621862,-399.8637363,1934.12467,1338.715658,-500.2476741,1970.911459,1304.944135,-530.0535829,1594.821332,1195.103404,-456.0875437,1672.046153,1350.27942,-412.6059594,1829.366945,1156.901211,-301.2115033,1508.882275,1265.265102,-576.7513823,2020.850445,1307.154777,-502.5266739,2112.208829,1154.733143,-431.6391389,1803.190662,1,1,1,1,0,0,0,0
1.339666667,80.38,4019,16,1196.790575,-522.4176806,1630.87604,1202.961521,-517.1240687,1581.720372,1365.117691,-442.9562262,1712.346191,1303.405514,-591.8388845,1990.362789,1238.410181,-432.7441144,1552.354639,1318.924986,-449.7406086,1655.406921,1199.812641,-444.8790415,1811.739765,972.8340935,-344.1856348,1533.952013,1335.630075,-477.3294211,1964.825753,1258.622543,-383.8900037,1932.125351,1336.21442,-483.6995385,1968.410221,1302.293867,-515.5547555,1592.171064,1192.822966,-441.751796,1669.765715,1348.216391,-396.7077276,1827.303916,1155.395154,-287.8825859,1507.376217,1262.381345,-560.3208046,2017.966688,1304.642144,-485.4298559,2109.696196,1154.301504,-428.6812151,1802.759023,1,1,1,1,0,0,0,0
1.34,80.4,4020,16,1200.991455,-541.6951904,1681.941406,1203.152832,-538.34729,1635.244141,1364.674734,-439.8796988,1712.346191,1297.242432,-588.946228,2019.576416,1254.810303,-463.8776245,1608.059814,1324.473877,-464.5031738,1692.754639,1197.588245,-429.8212795,1809.515369,971.1131653,-331.6517043,1532.231085,1333.243428,-460.827142,1962.439106,1240.049072,-430.9251099,1950.566528,1333.795922,-467.1764153,1965.991723,1284.506714,-558.1726074,1624.475098,1190.614207,-427.4388525,1667.556956,1139.639893,-367.6466675,1655.471436,1185.139526,-315.6642456,1552.005249,1265.002563,-578.1740723,2053.609131,1366.529785,-487.2442627,2164.021729,1153.872823,-425.7241546,1802.330342,1,1,1,1,0,0,0,0
1.340333333,80.42,4021,16,1191.084717,-537.2459717,1690.99707,1197.095093,-534.269043,1646.013184,1364.234855,-436.8040574,1712.346191,1310.017822,-595.4108887,2030.98584,1238.874268,-468.0809937,1617.325928,1322.165013,-454.7620163,1683.623882,1195.439139,-414.7857614,1807.366263,969.4549068,-319.134983,1530.572826,1359.556641,-555.4121094,2037.650635,1241.333008,-431.8726196,1969.774658,1331.46004,-450.6774771,1963.655841,1292.269287,-552.0735474,1642.462769,1188.477013,-413.1479967,1665.419762,1142.955444,-363.2210693,1681.373779,1169.531616,-321.8843994,1539.419678,1265.085205,-574.6971436,2058.470703,1347.533203,-490.4919434,2177.363525,1153.447099,-422.7679514,1801.904618,1,1,1,1,0,0,0,0
1.340666667,80.44,4022,16,1184.752808,-534.4130859,1702.68689,1187.702271,-532.7489014,1655.393433,1363.798051,-433.7292957,1712.346191,1316.580811,-594.1885986,2043.70459,1242.312787,-457.9191592,1609.533728,1319.891203,-439.7330718,1681.350072,1193.36521,-399.7717344,1805.292334,967.8592319,-306.6348444,1528.977151,1354.593332,-536.6057451,2025.654006,1233.519287,-423.6169739,1993.685303,1329.206653,-434.2018977,1961.402454,1284.692505,-550.286499,1651.551025,1232.019287,-472.795166,1779.286255,1137.37793,-360.68396,1707.922241,1113.732666,-330.5619507,1532.975098,1262.567871,-578.0209961,2058.123047,1319.976074,-485.7887268,2177.407959,1153.024331,-419.8125997,1801.48185,1,1,1,1,0,0,0,0
1.341,80.46,4023,16,1175.590332,-530.9078979,1710.407227,1178.059082,-528.7330322,1663.943359,1363.364321,-430.6554076,1712.346191,1337.615479,-595.9144287,2045.307373,1224.012451,-459.944519,1634.17627,1317.692538,-424.7268654,1679.151406,1191.366352,-384.7784467,1803.293476,966.3260577,-294.1506624,1527.443977,1376.684937,-561.2331543,2060.094727,1246.198486,-429.8805847,2005.680664,1327.035643,-417.7488522,1959.231444,1277.300903,-546.9020996,1661.587769,1214.528076,-472.3974609,1754.586304,1139.799805,-367.5041504,1749.047119,1135.08509,-317.9975828,1534.794797,1265.314941,-583.1356812,2060.05835,1319.805908,-481.4760132,2175.090332,1152.604518,-416.8580935,1801.062037,1,1,1,1,0,0,0,0
1.341333333,80.48,4024,16,1167.212524,-523.7437744,1716.521118,1167.310303,-522.5343018,1667.02417,1362.933666,-427.582387,1712.346191,1347.101563,-601.5020752,2046.604492,1214.026123,-461.4169006,1631.121338,1315.568903,-409.7426457,1677.027772,1189.442459,-369.8051475,1801.369583,964.8553043,-281.6818123,1525.973224,1369.383677,-545.8539865,2049.591033,1241.217402,-418.5535694,1995.161321,1324.946899,-401.3175167,1957.1427,1268.954346,-542.4946899,1666.249268,1215.921387,-459.3394165,1756.343628,1144.249146,-359.7792358,1794.863892,1000.627258,-369.3924561,1564.10437,1278.654419,-584.1304321,2074.57666,1216.307983,-437.3256226,2056.983398,1152.18766,-413.9044269,1800.645179,1,1,1,1,0,0,0,0
1.341666667,80.5,4025,16,1159.620605,-517.9157715,1727.083252,1162.417114,-518.0854492,1677.088379,1362.506083,-424.5102276,1712.346191,1346.590942,-602.0093994,2051.156738,1218.143154,-452.5626656,1628.375563,1313.52019,-394.7796623,1674.979059,1187.593434,-354.8510873,1799.520558,963.4468953,-269.2276696,1524.564815,1366.654408,-528.759113,2046.861763,1239.124634,-402.3716758,1993.068553,1322.940311,-384.9070687,1955.136112,1261.56189,-536.5495605,1672.146484,1214.853882,-453.6893921,1772.062256,1125.193115,-368.0670166,1818.663086,1036.629642,-348.1698696,1554.884063,1273.212036,-579.0297852,2071.386719,1202.97876,-442.0160522,2072.810303,1151.773756,-410.9515941,1800.231275,1,1,1,1,0,0,0,0
