id,trial,nose_x,nose_y,nose_z,nose_confidence,headTop_x,headTop_y,headTop_z,headTop_confidence,neck_x,neck_y,neck_z,neck_confidence,tailBase_x,tailBase_y,tailBase_z,tailBase_confidence,lEar_x,lEar_y,lEar_z,lEar_confidence,lShoulder_x,lShoulder_y,lShoulder_z,lShoulder_confidence,lElbow_x,lElbow_y,lElbow_z,lElbow_confidence,lWrist_x,lWrist_y,lWrist_z,lWrist_confidence,lHip_x,lHip_y,lHip_z,lHip_confidence,lKnee_x,lKnee_y,lKnee_z,lKnee_confidence,lAnkle_x,lAnkle_y,lAnkle_z,lAnkle_confidence,rEar_x,rEar_y,rEar_z,rEar_confidence,rShoulder_x,rShoulder_y,rShoulder_z,rShoulder_confidence,rElbow_x,rElbow_y,rElbow_z,rElbow_confidence,rWrist_x,rWrist_y,rWrist_z,rWrist_confidence,rHip_x,rHip_y,rHip_z,rHip_confidence,rKnee_x,rKnee_y,rKnee_z,rKnee_confidence,rAnkle_x,rAnkle_y,rAnkle_z,rAnkle_confidence
98281,16,1200.114502,-541.5146484,1623.951904,0.93375564,1205.187378,-535.9892578,1575.350342,0.9152775,1366.054199,-449.3919678,1712.346191,0.07390303,1304.654053,-598.7298584,1991.611328,0.48595423,1243.063599,-461.3883362,1557.008057,0.804851,1322.80481,-466.5181885,1647.63562,0.79688525,1204.60791,-475.7858887,1816.535034,0.009742652,976.5581055,-369.90802,1537.676025,0.5710299,1340.78064,-511.199585,1969.976318,0.11480461,1262.807617,-416.6219482,1936.310425,1.0,1341.430542,-517.6134033,1973.626343,0.091097064,1307.803467,-545.2739868,1597.680664,0.45605522,1197.574341,-471.1328735,1674.51709,0.63956815,1352.531494,-429.2857971,1831.619019,0.110947415,1162.496826,-305.1119385,1515.351807,1.0,1269.797363,-584.0509033,2016.330811,0.9359175,1298.424316,-510.9107361,2106.65332,0.75006294,1155.207764,-434.8670654,1803.665283,0.034092102
98282,16,1200.651855,-541.711731,1639.986328,0.88995326,1207.327637,-536.0968628,1590.489258,0.93793005,,,,0.13020769,,,,0.5291127,,,,0.78127176,1321.776367,-471.7127075,1664.225952,0.9066285,,,,0.009823945,,,,0.38306427,,,,0.16170463,1248.690918,-427.7963257,1945.91394,0.608943,1380.875122,-514.3787231,2097.306641,0.092368,,,,0.7943779,,,,0.2133238,,,,0.41965806,1154.907959,-306.3529053,1506.441406,1.0,1264.564697,-581.8625488,2024.786377,0.97386533,1313.049438,-507.47229,2116.477295,0.83854294,1280.789063,-515.8790283,2141.181396,0.13128582
98283,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98284,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98285,16,1200.991455,-541.6951904,1681.941406,0.8976128,1203.152832,-538.34729,1635.244141,0.89117515,,,,0.26839364,1297.242432,-588.946228,2019.576416,0.6509456,1254.810303,-463.8776245,1608.059814,0.9043355,1324.473877,-464.5031738,1692.754639,0.80781543,,,,0.023916911,,,,0.15863141,,,,0.2448882,1240.049072,-430.9251099,1950.566528,1.0,1444.066284,-529.4005127,1923.757202,0.026791077,1284.506714,-558.1726074,1624.475098,0.9364337,,,,0.10952151,1139.639893,-367.6466675,1655.471436,0.8486524,1185.139526,-315.6642456,1552.005249,0.94456834,1265.002563,-578.1740723,2053.609131,0.9733356,1366.529785,-487.2442627,2164.021729,0.77887744,1193.328003,-454.0848083,2005.295532,0.081363276
98286,16,1191.084717,-537.2459717,1690.99707,0.92579424,1197.095093,-534.269043,1646.013184,0.92161256,,,,0.16712911,1310.017822,-595.4108887,2030.98584,0.82720894,1238.874268,-468.0809937,1617.325928,0.9011214,,,,0.242882,,,,0.114262775,,,,0.37680173,1359.556641,-555.4121094,2037.650635,0.71327794,1241.333008,-431.8726196,1969.774658,1.0,1312.347412,-379.2035522,1633.789185,0.091220565,1292.269287,-552.0735474,1642.462769,0.86429244,,,,0.18586129,1142.955444,-363.2210693,1681.373779,0.96540546,1169.531616,-321.8843994,1539.419678,0.8192537,1265.085205,-574.6971436,2058.470703,1.0,1347.533203,-490.4919434,2177.363525,0.9218509,1241.175049,-471.097168,2039.634521,0.03627186
98287,16,1184.752808,-534.4130859,1702.68689,0.95287585,1187.702271,-532.7489014,1655.393433,0.9369103,,,,0.14150062,1316.580811,-594.1885986,2043.70459,0.8017663,,,,0.8237711,,,,0.62116873,,,,0.074881375,,,,0.3422547,,,,0.58915293,1233.519287,-423.6169739,1993.685303,1.0,1319.412842,-404.7416687,1960.893311,0.18682778,1284.692505,-550.286499,1651.551025,0.886356,1232.019287,-472.795166,1779.286255,0.7233252,1137.37793,-360.68396,1707.922241,0.8058483,1113.732666,-330.5619507,1532.975098,0.8713102,1262.567871,-578.0209961,2058.123047,0.9836933,1319.976074,-485.7887268,2177.407959,0.87609625,1210.342041,-421.594696,2020.754883,0.04079913
98288,16,1175.590332,-530.9078979,1710.407227,0.94713783,1178.059082,-528.7330322,1663.943359,0.97458506,,,,0.14696173,1337.615479,-595.9144287,2045.307373,0.84040517,1224.012451,-459.944519,1634.17627,0.8781853,,,,0.5794598,,,,0.10756033,,,,0.49715298,1376.684937,-561.2331543,2060.094727,0.6827815,1246.198486,-429.8805847,2005.680664,0.97877413,1151.304565,-324.392334,1957.059814,0.063654706,1277.300903,-546.9020996,1661.587769,0.84423643,1214.528076,-472.3974609,1754.586304,0.8061914,1139.799805,-367.5041504,1749.047119,0.75861984,,,,0.22009335,1265.314941,-583.1356812,2060.05835,1.0,1319.805908,-481.4760132,2175.090332,0.90476775,1256.579346,-436.5626221,2164.540527,0.06884052
98289,16,1167.212524,-523.7437744,1716.521118,0.9568255,1167.310303,-522.5343018,1667.02417,0.9017842,,,,0.21272478,1347.101563,-601.5020752,2046.604492,0.8805487,1214.026123,-461.4169006,1631.121338,0.89052594,,,,0.35699388,,,,0.022569686,,,,0.49955168,,,,0.5231894,1245.102295,-427.2731323,2022.161133,0.06103779,1389.457275,-508.8269043,1951.393799,0.030857015,1268.954346,-542.4946899,1666.249268,0.856086,1215.921387,-459.3394165,1756.343628,0.87415445,1144.249146,-359.7792358,1794.863892,0.81271136,1000.627258,-369.3924561,1564.10437,0.8306982,1278.654419,-584.1304321,2074.57666,0.93598044,1216.307983,-437.3256226,2056.983398,0.98636526,1035.181396,-358.6151733,1752.909668,0.047510713
98290,16,1159.620605,-517.9157715,1727.083252,0.90064025,1162.417114,-518.0854492,1677.088379,0.89095825,,,,0.24623781,1346.590942,-602.0093994,2051.156738,0.83131456,,,,0.818264,,,,0.14311638,,,,0.039128967,,,,0.17665325,,,,0.38621047,1478.87793,-508.2694397,1672.212769,0.07682066,1311.062988,-546.0262451,1911.602417,0.0321137,1261.56189,-536.5495605,1672.146484,0.8774805,1214.853882,-453.6893921,1772.062256,0.98443204,1125.193115,-368.0670166,1818.663086,0.83400804,,,,0.051708225,1273.212036,-579.0297852,2071.386719,0.9812501,1202.97876,-442.0160522,2072.810303,0.8398847,1262.96167,-419.8569946,2049.609375,0.019305767
98291,16,1145.833008,-510.5567932,1732.527832,0.8777997,1151.265869,-511.4982605,1683.369019,0.9132963,,,,0.18380906,1331.630615,-601.5037842,2049.697998,0.88928074,,,,0.7808452,,,,0.18077359,,,,0.043663684,,,,0.22205256,,,,0.3637401,1118.797852,-354.7047729,1735.240723,0.042746928,1313.461914,-505.3927612,1863.481201,0.02089465,1245.313721,-536.7767334,1681.286865,0.84489274,1204.813354,-452.7628479,1780.830566,0.9255465,,,,0.68452996,962.8355713,-362.2484131,1711.270264,0.8361168,1252.916992,-574.336792,2061.690186,0.9151618,1217.230103,-456.6569519,2096.591797,0.7365538,1200.464722,-469.6849365,2272.143311,1.0
98292,16,1135.999756,-503.5413818,1743.760254,0.9606452,1137.033203,-500.8400269,1694.557251,0.94769347,,,,0.22195642,1337.604248,-597.2593384,2057.006836,0.8439779,1198.169678,-430.9468994,1662.212646,0.93866324,,,,0.12683752,,,,0.032819234,,,,0.20682283,,,,0.38397428,1378.522705,-475.7027588,2122.688232,0.031671714,1297.564697,-502.6482544,1951.562134,0.018504944,1238.662598,-531.7524414,1684.533203,0.8427523,1196.975342,-446.3023987,1783.486816,0.9547901,1165.8927,-390.4030151,1895.117188,0.90386873,1022.994019,-344.0731201,1786.822388,1.0,1247.420166,-574.2044678,2066.182373,0.9496849,1224.21167,-462.5428467,2115.291016,0.7811826,1196.422974,-470.6852417,2302.335449,1.0
98293,16,1137.242676,-503.2184448,1756.988892,0.9079527,1139.257324,-501.1893005,1707.454102,0.967369,,,,0.27495807,1330.490845,-596.1951904,2064.544189,0.9275483,1192.064331,-429.528656,1679.016968,0.9245818,,,,0.36848772,,,,0.026337087,,,,0.33493453,,,,0.32088447,1391.986694,-527.8492432,2034.530273,0.018370362,1497.736206,-546.9333496,2266.134277,0.082040824,1230.16272,-523.7697754,1693.4198,0.92028004,1193.857056,-446.7095947,1800.754761,0.9013181,1164.456543,-392.5599976,1918.906616,0.9757985,1020.834351,-331.6870117,1843.708618,1.0,,,,0.62364274,1216.189331,-466.6795349,2141.832031,0.79783577,1161.546509,-472.5378418,2322.681396,0.99728364
98294,16,1131.876953,-490.8114929,1768.93811,0.9480634,1132.66748,-489.718811,1720.628052,0.9473945,,,,0.26420495,1316.688354,-601.6207275,2077.838623,0.71066415,1171.676514,-432.6065674,1689.319214,0.8591569,,,,0.43300354,,,,0.01225502,1300.665527,-336.3931274,1664.28894,1.0,,,,0.11175181,1440.147217,-569.8079224,2061.095947,0.03538329,1444.178955,-635.6262817,2262.31665,0.12446861,1220.921753,-520.7584229,1709.089966,0.888056,1193.106567,-449.0032654,1813.881592,0.9058002,1152.494385,-406.925354,1933.657959,0.96566486,1015.136169,-332.2556763,1909.36731,1.0,,,,0.63790137,1181.731812,-477.0752258,2155.350098,0.80176765,1153.558838,-479.7526855,2329.668701,1.0
