id,headFront_x,headFront_y,headFront_z,headFront_confidence,neck_x,neck_y,neck_z,neck_confidence,lowerBack_x,lowerBack_y,lowerBack_z,lowerBack_confidence,leftWrist_x,leftWrist_y,leftWrist_z,leftWrist_confidence,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftShoulder_confidence,leftElbow_x,leftElbow_y,leftElbow_z,leftElbow_confidence
24474,-319.182251,-253.413269,2013.931763,0.001348099,-268.4694824,-297.3803101,1812.766602,0.9015462,-352.833252,-76.86572266,2226.392334,0.5729685,-344.6220093,-246.6398926,2019.19043,0.001302947,-425.375885,-317.5209045,1876.49231,0.8714744,-458.9457092,-309.872467,2048.477295,0.06561667
24475,-324.8724365,-255.8826294,2016.539551,0.001362213,-263.2279663,-296.7580566,1813.049438,0.92461026,-360.3115234,-78.40844727,2227.193848,0.5377087,-345.930542,-249.307251,2021.375488,0.001252052,-422.4119873,-318.4367981,1876.579102,0.8754612,-436.1574707,-327.2098999,2036.989624,0.08947056
24476,-332.3806152,-261.737793,2014.869141,0.001305483,-254.8671875,-296.3553467,1814.720215,0.9370439,-359.4285278,-69.63616943,2221.894531,0.6415395,-348.7531128,-254.7974854,2016.734619,0.001322559,-418.7045593,-322.2336121,1875.052246,0.88407594,-400.2773132,-308.4179077,2049.014404,0.08688784
24477,-337.4924927,-264.0443726,2015.822754,0.001314765,-253.5285034,-296.7333984,1815.203247,0.9450925,-359.7070923,-69.35461426,2217.768799,0.636067,-351.4825439,-256.3983765,2017.758911,0.001292153,-416.9743347,-320.4704895,1875.497314,0.8811773,-398.5614319,-275.7425537,2060.052246,0.07158049
24478,-330.7871094,-264.5020142,2002.354492,0.00138424,-251.7454834,-298.5339966,1811.950806,0.96056575,-359.3481445,-70.51245117,2221.918945,0.65788275,-347.4867554,-257.9002075,2005.883301,0.001282981,-415.8324585,-326.0692749,1875.51355,0.8617378,-404.4909058,-328.9273987,2061.694336,0.11739697
24479,-320.324585,-268.9284058,2021.928711,0.001480799,-242.1785278,-301.901123,1813.592407,0.91877913,-355.994812,-70.20404053,2224.498779,0.6798627,-340.0491943,-262.8681641,2020.980591,0.001328171,-410.8614502,-334.8883667,1881.016602,0.87447107,-413.2822876,-323.4528503,2051.327148,0.08930885
24480,-315.7149048,-266.4228516,2023.137207,0.001346228,-238.3145142,-302.1212158,1816.142334,0.9260071,-357.0939941,-76.17034912,2226.434082,0.64971864,-336.5983887,-261.2731323,2025.643677,0.001337371,-408.2368774,-331.0097351,1879.351929,0.89130485,-412.8720093,-334.78302,2030.393311,0.092458904
24481,-307.2144775,-261.4553223,2010.93103,0.00137004,-234.727417,-301.6281738,1814.020264,0.9395047,-358.1022949,-74.20220947,2215.538086,0.64863944,-328.5325317,-260.1107178,2016.371094,0.001294268,-402.914856,-338.0818481,1880.585205,0.8409198,-411.274231,-355.5819397,2054.983887,0.10692356
24482,-301.9512329,-263.2202148,2010.631226,0.001370649,-236.4616089,-304.9815063,1812.457764,0.9371165,-353.5731812,-73.74658203,2211.211914,0.6503461,-325.4693604,-258.5263672,2014.342773,0.001289608,-400.6155396,-337.5423279,1881.990601,0.8460635,-405.6254272,-314.7424316,2050.617676,0.090661734
24483,-302.7796631,-246.6633301,2021.584839,0.001332993,-232.2895508,-303.1206665,1813.571533,0.925212,-355.456665,-74.80957031,2216.636719,0.6546081,-326.2591553,-250.9279175,2023.029053,0.001374551,-396.2003479,-344.7683411,1882.346924,0.83101285,-396.0091553,-330.840332,2040.985107,0.09937794
