id,neck_x,neck_y,neck_z,lowerBack_x,lowerBack_y,lowerBack_z,leftShoulder_x,leftShoulder_y,leftShoulder_z
24474,-268.4694824,-297.3803101,1812.766602,-352.833252,-76.86572266,2226.392334,-425.375885,-317.5209045,1876.49231
24475,-263.2279663,-296.7580566,1813.049438,-360.3115234,-78.40844727,2227.193848,-422.4119873,-318.4367981,1876.579102
24476,-254.8671875,-296.3553467,1814.720215,-359.4285278,-69.63616943,2221.894531,-418.7045593,-322.2336121,1875.052246
24477,-253.5285034,-296.7333984,1815.203247,-359.7070923,-69.35461426,2217.768799,-416.9743347,-320.4704895,1875.497314
24478,-251.7454834,-298.5339966,1811.950806,-359.3481445,-70.51245117,2221.918945,-415.8324585,-326.0692749,1875.51355
24479,-242.1785278,-301.901123,1813.592407,-355.994812,-70.20404053,2224.498779,-410.8614502,-334.8883667,1881.016602
24480,-238.3145142,-302.1212158,1816.142334,-357.0939941,-76.17034912,2226.434082,-408.2368774,-331.0097351,1879.351929
24481,-234.727417,-301.6281738,1814.020264,-358.1022949,-74.20220947,2215.538086,-402.914856,-338.0818481,1880.585205
24482,-236.4616089,-304.9815063,1812.457764,-353.5731812,-73.74658203,2211.211914,-400.6155396,-337.5423279,1881.990601
24483,-232.2895508,-303.1206665,1813.571533,-355.456665,-74.80957031,2216.636719,-396.2003479,-344.7683411,1882.346924
24484,-226.9483032,-308.3211975,1813.608765,-344.8331909,-95.99383545,2233.668213,-393.7307434,-349.4362488,1885.165771
24485,-221.5292969,-311.8811646,1812.944336,-346.1470947,-75.62188721,2208.548096,-383.945343,-356.9606018,1886.398193
24486,-212.9506836,-328.0257568,1816.24707,-344.3056641,-103.0686035,2240.686523,-377.4986877,-372.1199951,1879.793335
24487,-209.4556885,-333.6195068,1818.133423,-347.8162231,-97.96179199,2247.951904,-374.6035461,-373.4095459,1886.276001
24488,-220.3599243,-327.486084,1815.958008,-344.9668579,-89.5390625,2242.437744,-365.7973633,-382.6555786,1901.156006
24489,-206.7324829,-339.913208,1819.946411,-332.0582275,-91.93151855,2238.369385,-371.9762573,-377.947052,1892.62854
24490,-198.5236206,-355.0386047,1824.999878,-307.253479,-122.8190918,2268.288574,-357.0622559,-402.9354858,1900.868164
24491,-185.8336182,-363.6176453,1827.895996,-282.7247925,-117.1870117,2260.630127,-357.9156799,-404.5652771,1905.376343
24492,-191.4912109,-369.3065796,1821.550781,-315.1749268,-92.75726318,2220.047607,-349.0567932,-413.995575,1907.521851
24493,-189.1551514,-386.2793579,1837.40332,-330.2305908,-98.60351563,2229.520996,-351.5795898,-435.2432251,1911.756836
24494,-183.7467651,-395.840332,1834.591797,-329.4463501,-106.90448,2246.707275,-348.4069214,-442.1977539,1918.122559
24495,-184.9790039,-398.914978,1832.958618,-319.3853149,-108.9318237,2250.925781,-341.7764587,-455.9144897,1924.312622
24496,-181.6873779,-419.4728394,1837.373535,-322.9353638,-109.9993896,2241.634766,-338.7233582,-468.2902527,1926.843506
24497,-177.6939697,-432.6992798,1840.538574,-327.8259888,-118.0496826,2241.999512,-336.3243408,-483.4789734,1930.526489
24498,-172.0645142,-433.3959961,1838.381592,-320.7786865,-138.6939087,2246.386719,-331.7503967,-492.1589661,1923.642944
