id,trial,s_1,s_2,s_3,s_4
24474,1,1,1,1,1
24475,1,1,1,1,1
24476,1,1,1,1,1
24477,1,1,1,1,1
24478,1,1,1,1,1
24479,1,1,1,1,1
24480,1,1,1,1,1
24481,1,1,1,1,1
24482,1,1,1,1,1
24483,1,1,1,1,1
24484,1,1,1,1,1
24485,1,1,1,1,1
24486,1,1,1,1,1
24487,1,1,1,1,1
24488,1,1,1,1,1
24489,1,1,1,1,1
24490,1,1,1,1,1
24491,1,1,1,1,1
24492,1,1,1,1,1
24493,1,1,1,1,1
24494,1,1,1,1,1
24495,1,1,1,1,1
24496,1,1,1,1,1
24497,1,1,1,1,1
24498,1,1,1,1,1
24499,1,1,1,1,1
24500,1,1,1,1,1
24501,1,1,1,1,1
24502,1,1,1,1,1
24503,1,1,1,1,1
24504,1,1,1,1,1
24505,1,1,1,1,1
24506,1,1,1,1,1
24507,1,1,1,1,1
24508,1,1,1,1,1
24509,1,1,1,1,1
24510,1,1,1,1,1
24511,1,1,1,1,1
24512,1,1,1,1,1
24513,1,1,1,1,1
24514,1,1,1,1,1
24515,1,1,1,1,1
24516,1,1,1,1,1
24517,1,1,1,1,1
24518,1,1,1,1,1
24519,1,1,1,1,1
24520,1,1,1,1,1
24521,1,1,1,1,1
24522,1,1,1,1,1
24523,1,1,0,1,1
24524,1,1,0,1,1
24525,1,1,0,1,1
24526,1,1,0,1,1
24527,1,1,0,1,1
24528,1,1,0,1,1
24529,1,1,0,1,1
24530,1,1,0,1,1
24531,1,1,0,1,1
24532,1,1,0,1,1
24533,1,1,0,1,1
24534,1,1,0,1,1
24535,1,1,0,1,1
24536,1,1,0,1,1
24537,1,1,0,1,1
24538,1,1,0,1,1
24539,1,1,0,1,1
24540,1,1,0,1,1
24541,1,1,0,1,1
24542,1,1,0,1,1
24543,1,1,0,1,1
24544,1,1,0,1,1
24545,1,1,0,1,1
24546,1,1,0,1,1
24547,1,1,0,1,1
24548,1,1,0,1,1
24549,1,1,0,1,1
24550,1,1,0,1,1
24551,1,1,0,1,1
24552,1,1,0,1,1
24553,1,1,0,1,1
24554,1,1,0,1,1
24555,1,1,0,1,1
24556,1,1,0,1,1
24557,1,1,0,1,1
24558,1,1,0,1,1
24559,1,1,0,1,1
24560,1,1,0,1,1
24561,1,1,0,1,1
24562,1,1,0,1,1
24563,1,1,0,1,1
24564,1,1,0,1,1
24565,1,1,0,1,1
24566,1,1,0,1,1
24567,1,1,0,1,1
24568,1,1,0,1,1
24569,1,1,0,1,1
24570,1,1,0,1,1
24571,1,1,0,1,1
24572,1,1,0,1,1
24573,1,1,0,1,1
24574,1,1,0,1,1
24575,1,1,0,1,1
24576,1,1,0,1,1
24577,1,1,0,1,1
24578,1,1,0,1,1
24579,1,1,0,1,1
24580,1,1,0,1,1
24581,1,1,0,1,1
24582,1,1,0,1,1
24583,1,1,0,1,1
24584,1,1,0,1,1
24585,1,1,0,1,1
24586,1,1,0,1,1
24587,1,1,0,1,1
24588,1,1,0,1,1
24589,1,1,0,1,1
24590,1,1,0,1,1
24591,1,1,0,1,1
24592,1,1,0,1,1
24593,1,1,0,1,1
24594,1,1,0,1,1
24595,1,1,0,1,1
24596,1,1,0,1,1
24597,1,1,0,1,1
24598,1,1,0,1,1
24599,1,1,0,1,1
24600,1,1,0,1,1
24601,1,1,0,1,1
24602,1,1,0,1,1
24603,1,1,0,1,1
24604,1,1,0,1,1
24605,1,1,0,1,1
24606,1,1,0,1,1
24607,1,1,0,1,1
24608,1,1,0,1,1
24609,1,1,0,1,1
24610,1,1,0,1,1
24611,1,1,0,1,1
24612,1,1,0,1,1
24613,1,1,0,1,1
24614,1,1,0,1,1
24615,1,1,0,1,1
24616,1,1,0,1,1
24617,1,1,0,1,1
24618,1,1,0,1,1
24619,1,1,0,1,1
24620,1,1,0,1,1
24621,1,1,0,1,1
24622,1,1,0,1,1
24623,1,1,0,1,1
24624,1,1,0,1,1
24625,1,1,0,1,1
24626,1,1,0,1,1
24627,1,1,0,1,1
24628,1,1,0,1,1
24629,1,1,0,1,1
24630,1,1,0,1,1
24631,1,1,0,1,1
24632,1,1,0,1,1
24633,1,1,0,1,1
24634,1,1,0,1,1
27790,2,1,1,1,1
27791,2,1,1,1,1
27792,2,1,1,1,1
27793,2,1,1,1,1
27794,2,1,1,1,1
27795,2,1,1,1,1
27796,2,1,1,1,1
27797,2,1,1,1,1
27798,2,1,1,1,1
27799,2,1,1,1,1
27800,2,1,1,1,1
27801,2,1,1,1,1
27802,2,1,1,1,1
27803,2,1,1,1,1
27804,2,1,1,1,1
27805,2,1,1,1,1
27806,2,1,1,1,1
27807,2,1,1,1,1
27808,2,1,1,1,1
27809,2,1,1,1,1
27810,2,1,1,1,1
27811,2,1,1,1,1
27812,2,1,1,1,1
27813,2,1,1,1,1
27814,2,1,1,1,1
27815,2,1,1,1,1
27816,2,1,1,1,1
27817,2,1,1,1,1
27818,2,1,1,1,1
27819,2,1,1,1,1
27820,2,1,1,1,0
27821,2,1,1,1,0
27822,2,1,1,1,0
27823,2,1,1,1,0
27824,2,1,1,1,0
27825,2,1,1,1,0
27826,2,1,1,1,0
27827,2,1,1,1,0
27828,2,1,1,1,0
27829,2,1,1,1,0
