shift,s,sm,sh,smh
10,0.967327857,0.944135443,0.944696121,0.937504204
20,0.951934764,0.952463962,0.946959519,0.948082346
30,0.935743834,0.960267022,0.94513638,0.953452756
40,0.91949697,0.965807628,0.945884447,0.964306407
50,0.903821914,0.9672595,0.947797982,0.970907366
60,0.888352858,0.962444709,0.945667624,0.970061636
70,0.872693981,0.952558902,0.940458038,0.963240697
80,0.856405946,0.942717682,0.932632349,0.954109604
90,0.839767837,0.931278837,0.921582075,0.941530862
100,0.825380426,0.918794929,0.90998118,0.928222168
110,0.814990973,0.905337309,0.897952845,0.915395072
120,0.803762554,0.891711596,0.889293423,0.902346366
130,0.793226889,0.877829597,0.878338733,0.887075964
140,0.779415446,0.860928123,0.868835903,0.873388444
