T,null,solo,dyadic
-0.2,0.967327857,0.944135443,0.937504204
-0.4,0.951934764,0.952463962,0.948082346
-0.6,0.935743834,0.960267022,0.953452756
-0.8,0.91949697,0.965807628,0.964306407
-1,0.903821914,0.9672595,0.970907366
-1.2,0.888352858,0.962444709,0.970061636
-1.4,0.872693981,0.952558902,0.963240697
-1.6,0.856405946,0.942717682,0.954109604
-1.8,0.839767837,0.931278837,0.941530862
-2,0.825380426,0.918794929,0.928222168
-2.2,0.814990973,0.905337309,0.915395072
-2.4,0.803762554,0.891711596,0.902346366
-2.6,0.793226889,0.877829597,0.887075964
-2.8,0.779415446,0.860928123,0.873388444
