,shift,val_set,s_model,sm_model,smh_model
s1_val1,1,1,0.9984375,0.9984375,0.9984375
s6_val1,6,1,0.990322581,0.998387097,0.990322581
s11_val1,11,1,0.981666667,0.978333333,0.978333333
s16_val1,16,1,0.972413793,0.972413793,0.968965517
s21_val1,21,1,0.9625,0.955357143,0.960714286
s26_val1,26,1,0.951851852,0.957407407,0.92962963
s31_val1,31,1,0.940384615,0.965384615,0.871153846
s36_val1,36,1,0.928,0.974,0.848
s41_val1,41,1,0.914583333,0.975,0.85625
s46_val1,46,1,0.9,0.984782609,0.867391304
s51_val1,51,1,0.888636364,0.990909091,0.868181818
s56_val1,56,1,0.883333333,0.99047619,0.873809524
s61_val1,61,1,0.8775,0.99,0.875
s66_val1,66,1,0.871052632,0.989473684,0.878947368
s71_val1,71,1,0.863888889,0.988888889,0.886111111
s76_val1,76,1,0.855882353,1,0.894117647
s81_val1,81,1,0.846875,1,0.903125
s1_val2,1,2,0.998861912,0.950682853,0.95447648
s6_val2,6,2,0.993119266,0.956039755,0.959862385
s11_val2,11,2,0.987288136,0.961093991,0.964946071
s16_val2,16,2,0.98136646,0.965838509,0.970496894
s21_val2,21,2,0.975352113,0.970657277,0.976134585
s26_val2,26,2,0.969242902,0.975157729,0.981861199
s31_val2,31,2,0.963434022,0.976947536,0.986883943
s36_val2,36,2,0.959134615,0.98036859,0.986778846
s41_val2,41,2,0.954765751,0.984248788,0.987883683
s46_val2,46,2,0.950325733,0.984120521,0.989413681
s51_val2,51,2,0.945812808,0.983990148,0.989326765
s56_val2,56,2,0.941225166,0.983857616,0.989238411
s61_val2,61,2,0.936560935,0.984974958,0.989148581
s66_val2,66,2,0.931818182,0.98526936,0.987373737
s71_val2,71,2,0.926994907,0.984719864,0.98344652
s76_val2,76,2,0.922089041,0.985017123,0.979023973
s81_val2,81,2,0.917098446,0.981865285,0.974956822
s1_val3,1,3,0.967741935,0.962557604,0.954918033
s6_val3,6,3,0.961538462,0.970862471,0.963270142
s11_val3,11,3,0.955188679,0.976415094,0.971223022
s16_val3,16,3,0.948687351,0.978520286,0.979368932
s21_val3,21,3,0.942028986,0.980676329,0.985257985
s26_val3,26,3,0.935207824,0.982885086,0.986318408
s31_val3,31,3,0.928217822,0.982054455,0.984256927
s36_val3,36,3,0.921052632,0.978696742,0.981505102
s41_val3,41,3,0.913705584,0.970812183,0.976098191
s46_val3,46,3,0.906169666,0.960154242,0.966623037
s51_val3,51,3,0.8984375,0.949869792,0.956896552
s56_val3,56,3,0.890501319,0.944591029,0.946908602
s61_val3,61,3,0.882352941,0.933823529,0.935967302
s66_val3,66,3,0.87398374,0.924119241,0.926104972
s71_val3,71,3,0.865384615,0.916208791,0.916666667
s76_val3,76,3,0.856545961,0.908774373,0.908380682
s81_val3,81,3,0.847457627,0.901129944,0.90129683
s1_val4,1,4,0.960227273,0.961363636,0.955681818
s6_val4,6,4,0.954022989,0.96954023,0.963793103
s11_val4,11,4,0.947674419,0.976744186,0.970930233
s16_val4,16,4,0.941176471,0.984117647,0.979411765
s21_val4,21,4,0.93452381,0.989880952,0.988095238
s26_val4,26,4,0.927710843,0.992771084,0.994578313
s31_val4,31,4,0.92195122,0.990853659,0.993902439
s36_val4,36,4,0.917901235,0.984567901,0.989506173
s41_val4,41,4,0.91375,0.978125,0.983125
s46_val4,46,4,0.909493671,0.971518987,0.976582278
s51_val4,51,4,0.905128205,0.96474359,0.971153846
s56_val4,56,4,0.900649351,0.958441558,0.964285714
s61_val4,61,4,0.896052632,0.951315789,0.957894737
s66_val4,66,4,0.891333333,0.944,0.950666667
s71_val4,71,4,0.886486486,0.936486486,0.943243243
s76_val4,76,4,0.881506849,0.928767123,0.935616438
s81_val4,81,4,0.876388889,0.921527778,0.927777778
s1_val5,1,5,0.998674912,0.951855124,0.954063604
s6_val5,6,5,0.99197861,0.960338681,0.962566845
s11_val5,11,5,0.985161871,0.96852518,0.969874101
s16_val5,16,5,0.978221416,0.975045372,0.975952813
s21_val5,21,5,0.971153846,0.981684982,0.980769231
s26_val5,26,5,0.963955638,0.98844732,0.987523105
s31_val5,31,5,0.956623134,0.990671642,0.990671642
