shift,trial,smh,sm,sh,s
10,1,0.973509934,0.978333333,0.983443709,0.981666667
20,1,0.941489362,0.975,0.94858156,0.9625
30,1,0.84351145,0.984615385,0.84351145,0.940384615
40,1,0.857438017,0.995833333,0.818181818,0.914583333
50,1,0.864864865,0.977272727,0.828828829,0.888636364
60,1,0.863861386,0.95,0.816831683,0.8775
70,1,0.873626374,0.930555556,0.815934066,0.863888889
80,1,0.891975309,0.921875,0.817901235,0.846875
90,1,0.915492958,0.932142857,0.799295775,0.825
100,1,0.942622951,0.958333333,0.786885246,0.795833333
110,1,0.980392157,0.95,0.779411765,0.755
120,1,0.987804878,0.9375,0.81097561,0.75
130,1,0.975806452,0.916666667,0.822580645,0.75
140,1,0.964285714,0.8625,0.857142857,0.75
10,2,0.942307692,0.932588598,0.978846154,0.987288136
20,2,0.952734375,0.942879499,0.974609375,0.975352113
30,2,0.963095238,0.952305246,0.971428571,0.963434022
40,2,0.970564516,0.959612278,0.961693548,0.954765751
50,2,0.977459016,0.966338259,0.962295082,0.945812808
60,2,0.983333333,0.972871452,0.955,0.936560935
70,2,0.982627119,0.980050934,0.937288136,0.926994907
80,2,0.982327586,0.986614853,0.924568966,0.917098446
90,2,0.981578947,0.987697715,0.920175439,0.90685413
100,2,0.981696429,0.986135957,0.915178571,0.896243292
110,2,0.974090909,0.983151184,0.913181818,0.885245902
120,2,0.965740741,0.977736549,0.921759259,0.873840445
130,2,0.958018868,0.973534972,0.931132075,0.862003781
140,2,0.950480769,0.964354528,0.93125,0.849710983
10,3,0.933014354,0.940448113,0.921650718,0.980542453
20,3,0.949142157,0.945652174,0.93504902,0.961956522
30,3,0.961055276,0.95049505,0.949120603,0.942450495
40,3,0.966494845,0.955583756,0.956185567,0.921954315
50,3,0.974867725,0.954427083,0.965608466,0.900390625
60,3,0.969429348,0.946524064,0.957880435,0.882352941
70,3,0.959497207,0.93956044,0.950418994,0.865384615
80,3,0.941810345,0.934322034,0.942528736,0.847457627
90,3,0.923076923,0.927325581,0.937869822,0.828488372
100,3,0.905487805,0.910179641,0.923018293,0.808383234
110,3,0.893081761,0.896604938,0.911949686,0.792438272
120,3,0.882305195,0.883757962,0.900974026,0.818471338
130,3,0.872483221,0.869243421,0.890100671,0.820723684
140,3,0.861979167,0.858843537,0.879340278,0.823129252
10,4,0.94025522,0.963953488,0.95649652,0.914534884
20,4,0.954869359,0.975595238,0.960807601,0.906547619
30,4,0.970194647,0.976219512,0.964111922,0.899390244
40,4,0.981296758,0.975,0.960099751,0.896875
50,4,0.992327366,0.975641026,0.961636829,0.894230769
60,4,0.995406824,0.967105263,0.963910761,0.891447368
70,4,0.982479784,0.953378378,0.960242588,0.886486486
80,4,0.968836565,0.939583333,0.958448753,0.876388889
90,4,0.955128205,0.925714286,0.950854701,0.865714286
100,4,0.93914956,0.916176471,0.943548387,0.854411765
110,4,0.924471299,0.907575758,0.931268882,0.842424242
120,4,0.903426791,0.896875,0.92834891,0.8296875
130,4,0.881832797,0.885483871,0.921221865,0.816129032
