,orginal,shuffled,,,,
_h0_val1_oc,1,1,TRUE,,,
_h10_val1_oc,0.984631771,0.984631771,TRUE,,_h0_val1_oc,1
_h20_val1_oc,0.974541356,0.974541356,TRUE,,_h10_val1_oc,0.984631771
_h30_val1_oc,0.965034965,0.965034965,TRUE,,_h20_val1_oc,0.974541356
_h40_val1_oc,0.959972367,0.959972367,TRUE,,_h30_val1_oc,0.965034965
_h50_val1_oc,0.958333333,0.958333333,TRUE,,_h40_val1_oc,0.959972367
_h60_val1_oc,0.955807221,0.955807221,TRUE,,_h50_val1_oc,0.958333333
_h70_val1_oc,0.951456734,0.951456734,TRUE,,_h60_val1_oc,0.955807221
_h80_val1_oc,0.943401288,0.943401288,TRUE,,_h70_val1_oc,0.951456734
_h90_val1_oc,0.932318415,0.932318415,TRUE,,_h80_val1_oc,0.943401288
_h100_val1_oc,0.920745482,0.920745482,TRUE,,_h90_val1_oc,0.932318415
_h110_val1_oc,0.909512761,0.909512761,TRUE,,_h100_val1_oc,0.920745482
_h120_val1_oc,0.90063593,0.90063593,TRUE,,_h110_val1_oc,0.909512761
_h130_val1_oc,0.889615699,0.889615699,TRUE,,_h120_val1_oc,0.90063593
_h140_val1_oc,0.879892677,0.879892677,TRUE,,_h130_val1_oc,0.889615699
_h150_val1_oc,0.869145707,0.869145707,TRUE,,_h140_val1_oc,0.879892677
_h0_val2_oc,0.936101722,0.936101722,TRUE,,_h150_val1_oc,0.869145707
_h10_val2_oc,0.938621768,0.938621768,TRUE,,_h0_val2_oc,0.936101722
_h20_val2_oc,0.943873251,0.943873251,TRUE,,_h10_val2_oc,0.938621768
_h30_val2_oc,0.950198515,0.950198515,TRUE,,_h20_val2_oc,0.943873251
_h40_val2_oc,0.953343358,0.953343358,TRUE,,_h30_val2_oc,0.950198515
_h50_val2_oc,0.95428986,0.95428986,TRUE,,_h40_val2_oc,0.953343358
_h60_val2_oc,0.952028662,0.952028662,TRUE,,_h50_val2_oc,0.95428986
_h70_val2_oc,0.947114466,0.947114466,TRUE,,_h60_val2_oc,0.952028662
