id,trial,s_1,s_2,s_3,s_4,tag
24474,1,1,1,1,1,0
24475,1,1,1,1,1,0
24476,1,1,1,1,1,0
24477,1,1,1,1,1,0
24478,1,1,1,1,1,0
24479,1,1,1,1,1,0
24480,1,1,1,1,1,0
24481,1,1,1,1,1,0
24482,1,1,1,1,1,0
24483,1,1,1,1,1,0
24484,1,1,1,1,1,0
24485,1,1,1,1,1,0
24486,1,1,1,1,1,0
24487,1,1,1,1,1,0
24488,1,1,1,1,1,0
24489,1,1,1,1,1,0
24490,1,1,1,1,1,0
24491,1,1,1,1,1,0
24492,1,1,1,1,1,0
24493,1,1,1,1,1,0
24494,1,1,1,1,1,0
24495,1,1,1,1,1,0
24496,1,1,1,1,1,0
24497,1,1,1,1,1,0
24498,1,1,1,1,1,0
24499,1,1,1,1,1,0
24500,1,1,1,1,1,0
24501,1,1,1,1,1,0
24502,1,1,1,1,1,0
24503,1,1,1,1,1,0
24504,1,1,1,1,1,0
24505,1,1,1,1,1,0
24506,1,1,1,1,1,0
24507,1,1,1,1,1,0
24508,1,1,1,1,1,0
24509,1,1,1,1,1,0
24510,1,1,1,1,1,0
24511,1,1,1,1,1,0
24512,1,1,1,1,1,0
24513,1,1,1,1,1,0
24514,1,1,1,1,1,0
24515,1,1,1,1,1,0
24516,1,1,1,1,1,0
24517,1,1,1,1,1,0
24518,1,1,1,1,1,0
24519,1,1,1,1,1,0
24520,1,1,1,1,1,0
24521,1,1,1,1,1,0
24522,1,1,1,1,1,0
24523,1,0,1,1,1,1
24524,1,0,1,1,1,0
24525,1,0,1,1,1,0
24526,1,0,1,1,1,0
24527,1,0,1,1,1,0
24528,1,0,1,1,1,0
24529,1,0,1,1,1,0
24530,1,0,1,1,1,0
24531,1,0,1,1,1,0
24532,1,0,1,1,1,0
24533,1,0,1,1,1,0
24534,1,0,1,1,1,0
24535,1,0,1,1,1,0
24536,1,0,1,1,1,0
24537,1,0,1,1,1,0
24538,1,0,1,1,1,0
24539,1,0,1,1,1,0
24540,1,0,1,1,1,0
24541,1,0,1,1,1,0
24542,1,0,1,1,1,0
24543,1,0,1,1,1,0
24544,1,0,1,1,1,0
24545,1,0,1,1,1,0
24546,1,0,1,1,1,0
24547,1,0,1,1,1,0
24548,1,0,1,1,1,0
24549,1,0,1,1,1,0
24550,1,0,1,1,1,0
24551,1,0,1,1,1,0
24552,1,0,1,1,1,0
24553,1,0,1,1,1,0
24554,1,0,1,1,1,0
24555,1,0,1,1,1,0
24556,1,0,1,1,1,0
24557,1,0,1,1,1,0
24558,1,0,1,1,1,0
24559,1,0,1,1,1,0
